granularity_group,dataset,dataset_display,num_classes,median_class_tpr_at_1pct_fpr,mean_class_tpr_at_1pct_fpr,min_class_tpr_at_1pct_fpr,max_class_tpr_at_1pct_fpr,n_class_model_points
Binary,url,url,2,0.03883524171126192,0.050606725818455614,0.007947639083683964,0.12406015037593984,8
Binary,us_stocks_financial,us_stocks_financial,2,0.022347014894098516,0.021772543634818797,0.0026200873362445414,0.04183266932270916,8
Multiclass,46980_MIC,MIC,5,0.5078947368421052,0.51698322686728,0.013084112149532711,1.0,20
Multiclass,credit_rating,credit_rating,9,0.3817446043165468,0.43992557757833045,0.0,1.0,36
Multiclass,dropout_success,dropout_success,3,0.05985103670938173,0.12943592810196733,0.013189448441247002,0.5588235294117647,12
Multiclass,locations,locations,10,0.1070843570843571,0.22479782530309644,0.0,1.0,40
