dataset,model,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_seeds,model_display
locations,tabnet,8,10,0.05172413793103448,0.03627075351213282,0.034172126236294675,113.0,57.0,56.0,5,5,TabNet
locations,tabnet,9,10,0.05263157894736842,0.053385630800687436,0.0382669234797772,148.0,74.0,74.0,5,5,TabNet
us_stocks_financial,lightgbm,0,2,0.0199203187250996,0.031879104692062676,0.01865701362057433,1030.0,515.0,515.0,5,5,LightGBM
us_stocks_financial,lightgbm,1,2,0.023580786026200874,0.029858019500059757,0.016821433232002733,2264.0,1132.0,1132.0,5,5,LightGBM
us_stocks_financial,mlp,0,2,0.04183266932270916,0.043061155676034545,0.011707260719620381,1030.0,515.0,515.0,5,5,MLP
us_stocks_financial,mlp,1,2,0.007067137809187279,0.008251551417401002,0.005015972701484475,2264.0,1132.0,1132.0,5,5,MLP
us_stocks_financial,rf,0,2,0.028790786948176585,0.05016205889083817,0.06400723030343113,1030.0,515.0,515.0,5,5,RF
us_stocks_financial,rf,1,2,0.02925531914893617,0.038781076187014284,0.02590262891308418,2264.0,1132.0,1132.0,5,5,RF
us_stocks_financial,tabnet,0,2,0.02111324376199616,0.017937719442197422,0.011107864226534637,1030.0,515.0,515.0,5,5,TabNet
us_stocks_financial,tabnet,1,2,0.0026200873362445414,0.005835107154130997,0.005707376507228399,2264.0,1132.0,1132.0,5,5,TabNet
