dataset,attack_family,auc,mean_auc,n_models,min_num_seeds,max_num_seeds,target_model_accuracy_pct,train_test_gap_pct_points
46980_MIC,RMIA,0.6667579047463941,0.7094207476444027,8,5.0,5.0,91.75040518638573,6.061588330632089
credit_rating,RMIA,0.9293027699010996,0.8492282056158794,8,5.0,5.0,52.943495400788436,40.43120201950342
dropout_success,RMIA,0.7307721667954689,0.7616013681015856,8,5.0,5.0,77.07655213984327,15.467148884870413
locations,RMIA,0.8450485028746944,0.8488418602164648,8,5.0,5.0,81.4018691588785,18.457943925233643
url,RMIA,0.7274363308117303,0.7094519108976496,8,5.0,5.0,96.72188520765283,2.888474101726557
us_stocks_financial,RMIA,0.673664394684232,0.6698718834892902,8,5.0,5.0,99.87249544626593,0.1275045537340591
