dataset,class_label,min_class_tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_models,n_seeds,dataset_plot,median_class_tpr_at_1pct_fpr,dataset_display,num_classes,total_rows
us_stocks_financial,1,0.0233356860859245,0.0364164940621689,0.0689479897558224,2264.0,1132.0,1132.0,40,8,5,"us_stocks_financial
(2 classes)",0.02660808208678695,us_stocks_financial,2,1647
url,1,0.0597445371921533,0.0572441186225379,0.0305489903156838,4278.0,2139.0,2139.0,40,8,5,"url
(2 classes)",0.06274911004058666,url,2,4286
dropout_success,2,0.064901331946491,0.1330477382692066,0.1748240428915297,1660.0,830.0,830.0,40,8,5,"dropout_success
(3 classes)",0.1126945978908099,dropout_success,3,1659
46980_MIC,0,0.0185708866434458,0.030228907619593,0.0267483610174622,1069.0,535.0,534.0,40,8,5,"MIC
(5 classes)",0.7994987468671679,MIC,5,617
credit_rating,3,0.0508474576271186,0.2560280468119451,0.3098340677003262,217.0,118.0,99.0,24,8,3,"credit_rating
(10 classes)",0.3441811049362536,credit_rating,10,760
locations,1,0.0606060606060606,0.0760546841842797,0.0924295236133155,132.0,66.0,66.0,40,8,5,"locations
(10 classes)",0.1549141676712879,locations,10,641
