metric,spearman_r,n_datasets,abs_spearman_r
train_test_gap_pct_points,0.8285714285714287,6,0.8285714285714287
target_entropy,0.7714285714285715,6,0.7714285714285715
mean_abs_skewness,-0.7714285714285715,6,0.7714285714285715
num_classes,0.7650368522374495,6,0.7650368522374495
knn_label_disagreement,0.6571428571428573,6,0.6571428571428573
imbalance_ratio,0.48571428571428577,6,0.48571428571428577
max_abs_corr_with_target,-0.4285714285714286,6,0.4285714285714286
log_total_rows,-0.3142857142857143,6,0.3142857142857143
num_binary_features,0.08571428571428573,6,0.08571428571428573
pca_n_components_95pct,-0.08571428571428573,6,0.08571428571428573
log_num_features,-0.028571428571428574,6,0.028571428571428574
