dataset_name,profile_scope,profile_seed,split_scope,split_source,split_rows,target_train_rows_seed,target_test_rows_seed,context_rows_seed,auditing_rows_seed,population_rows_seed,total_rows,num_features,num_binary_features,num_classes,majority_class_pct,minority_class_pct,missing_pct,outlier_pct,duplicate_pct,binary_feature_pct,categorical_feature_pct,target_accuracy_avg_pct,imbalance_ratio,samples_per_feature,max_abs_corr_with_target,knn_label_disagreement,top_correlated_feature
46980_MIC,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/46980_MIC/rf/seed1/rmia/splits,617,617,617,1234,1234,412,617,111,1,5,87.8444,1.1345,0.0,0.6819,0.0,0.9009009009009009,0.0,91.28444084278767,77.4286,4.1622,0.631169,0.095624,feature_93
credit_rating,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/credit_rating/rf/seed1/rmia/splits,760,760,761,1521,1521,508,760,30,0,10,32.3684,0.1316,0.0,7.9912,0.0,0.0,0.0,50.226675427069644,246.0,19.0,0.226344,0.640789,feature_2
dropout_success,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/dropout_success/rf/seed1/rmia/splits,1659,1659,1659,3318,3318,1106,1659,36,8,3,49.0657,18.2037,0.0,3.116,0.0,22.22222222222222,0.0,75.77305605786619,2.6954,34.5556,0.62702,0.310428,feature_30
locations,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/locations/rf/seed1/rmia/splits,641,641,642,1283,1283,428,641,446,446,10,18.0967,5.1482,0.0,0.0,0.0,100.0,0.0,80.01168224299066,3.5152,1.0762,0.315458,0.466459,feature_205
url,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/url/rf/seed1/rmia/splits,4286,4286,4286,8572,8572,2858,4286,82,31,2,50.35,49.65,0.0,2.3616,0.0,37.80487804878049,0.0,94.97083527764815,1.0141,39.1951,0.746314,0.0805,feature_80
us_stocks_financial,seed1_target_train,1,seed_target_train,ml_privacy_meter/logs/us_stocks_financial/rf/seed1/rmia/splits,1647,1647,1647,3294,3294,1098,1647,229,11,2,68.4882,31.5118,0.0,13.3083,0.0,4.8034934497816595,0.0,94.45810564663023,2.1734,5.393,0.320317,0.279903,feature_217
