experiment,model,metric,value
ft_eval,original,auc,0.4942188676586146
ft_eval,original,tpr@0.1%fpr,0.0012145748987854252
ft_eval,original,tpr@0%fpr,0.0
ft_eval,original,tnr@0.1%fnr,0.0004047763610605104
ft_eval,original,tnr@0%fnr,0.0
ft_eval,finetuned,auc,0.5179331496271387
ft_eval,finetuned,tpr@0.1%fpr,0.0
ft_eval,finetuned,tpr@0%fpr,0.0
ft_eval,finetuned,tnr@0.1%fnr,0.05424003238210884
ft_eval,finetuned,tnr@0%fnr,0.032786885245901676
context / finetuned refs,original,auc,0.8669294640940389
context / finetuned refs,finetuned,auc,0.7625528698672673
