attack,model,model_label,mean_auc_across_datasets,std_auc_across_datasets,num_datasets
RMIA,tabpfn,TabPFN,0.7550931085851706,0.10620813987655708,6
RMIA,real-tabpfn,Real-TabPFN,0.7610342408829639,0.09637683241419245,6
RMIA,tabicl,TabICL,0.8863719467156724,0.05123243740442934,6
RMIA,tabdpt,TabDPT,0.9012071083943419,0.08102244114005716,6
RMIA-online,tabpfn,TabPFN,0.7919866666666667,0.10011344498451079,6
RMIA-online,real-tabpfn,Real-TabPFN,0.8001966666666668,0.09210958813645116,6
RMIA-online,tabicl,TabICL,0.9101066666666666,0.03989887350122389,6
RMIA-online,tabdpt,TabDPT,0.9034366666666666,0.0814151744250829,6
AMIA,tabpfn,TabPFN,0.8500477924942871,0.06542816110867207,6
AMIA,real-tabpfn,Real-TabPFN,0.8753478161506688,0.042521671352940764,6
AMIA,tabicl,TabICL,0.9195521153963098,0.12259030436404346,6
AMIA,tabdpt,TabDPT,0.9683579397107946,0.038547606422000356,6
