dataset,model,attack,attack_label,score_col,fpr,mean_tpr,std_tpr_across_seeds,mean_auc,std_auc_across_seeds,n_seeds
locations,tabpfn,rmia,RMIA,rmia_score,0.0,0.0,0.0,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0002,0.0062831201248049915,0.00282519640745837,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0004,0.012566240249609983,0.00565039281491674,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0006000000000000001,0.018849360374414977,0.00847558922237511,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0008,0.025132480499219966,0.01130078562983348,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.001,0.031415600624024966,0.01412598203729185,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0012000000000000001,0.037698720748829954,0.01695117844475022,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0014,0.04398184087363495,0.019776374852208588,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0016,0.049819407176287044,0.02194493951454403,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0018000000000000002,0.0539992511700468,0.021716867286540813,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.002,0.05817909516380655,0.021567078448698672,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0022,0.06235893915756631,0.021497209458678206,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0024000000000000002,0.06653878315132605,0.02150803919084932,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0026000000000000003,0.07071862714508581,0.02159944626111517,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0028,0.07489847113884555,0.021770415737081335,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.003,0.07907831513260531,0.02201909438580027,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,rmia_score,0.0032,0.08955182527301091,0.01967259487828337,0.8363312289500925,0.02298074553300779,5
