dataset,model,model_label,selected_members,selected_nonmembers,selected_rate,selected_member_share,threshold_mean,selected_total
dropout_success,tabpfn,TabPFN,8295,6100,0.8676913803496081,0.5775247800216728,0.0084138262,14395
dropout_success,real-tabpfn,Real-TabPFN,8295,6359,0.8833031946955998,0.5675815126805451,0.0083540172,14654
dropout_success,tabicl,TabICL,8295,1104,0.5665461121157324,0.8857378076758773,0.0215737908,9399
dropout_success,tabdpt,TabDPT,8295,174,0.510488245931284,0.9795161598141323,0.0342134202,8469
locations,tabpfn,TabPFN,3205,1593,0.7479345284489478,0.6699001265396114,0.0104954588,4798
locations,real-tabpfn,Real-TabPFN,3205,1465,0.7279812938425565,0.6877006654541703,0.0099565795,4670
locations,tabicl,TabICL,3205,224,0.5345284489477786,0.9352205449465518,0.022586240400000002,3429
locations,tabdpt,TabDPT,3205,1,0.49976617303195636,0.9996884735202493,0.0553342814,3206
