model,n_datasets,log_total_rows,log_num_features,num_numerical_features,num_categorical_features,num_binary_features,missing_pct,duplicate_rows,num_classes,majority_class_pct,minority_class_pct,imbalance_ratio,target_entropy,mean_feature_entropy,max_feature_entropy,outlier_pct,near_zero_variance_features,mean_numerical_variance,mean_abs_corr_with_target,max_abs_corr_with_target,samples_per_feature,mean_pairwise_feature_corr,mean_abs_skewness,mean_kurtosis,pca_n_components_95pct,pca_explained_var_top5,knn_label_disagreement,train_test_gap_pct_points,target_model_accuracy_pct
rf,6,-0.20223957739259127,-0.18504987957351643,0.28985151113108,-0.6176427667400515,0.5010950860338694,-0.7024680630125892,,0.4907262874919423,-0.9616322430065959,-0.27953249546164793,0.4413699275645403,0.8492269805558686,0.3741223162950401,0.12419787156340122,-0.21617549606737493,-0.1652167036315681,-0.4624966458172807,-0.15435469429536883,-0.3937107128753212,0.1864383545192982,-0.40071857659481175,-0.0025270877708158273,-0.1646738475437485,0.31150343875931874,-0.05258313630425429,0.8079843353335168,0.8539884422052265,-0.8151525985941283
lightgbm,6,-0.6025923428094702,-0.1640249103215982,0.24281409296167342,-0.35605274143507304,0.3910300227610759,-0.3973517525117922,,0.7205539654780689,-0.7535119771858436,-0.6579838736135076,0.6646292321207639,0.8443021380508189,0.3065916380554645,-0.17826918307298692,0.08531359972615873,-0.5883616765979932,-0.2530290651745289,-0.5563697475684667,-0.7788178372344479,-0.19928915037721284,-0.21675883035279286,0.19876131459050672,0.04806019482115406,0.2633713144518317,0.15068867852857545,0.9882437452506867,0.8965463538617543,-0.8799215468031365
mlp,6,-0.6482100328491658,0.6078191062695657,0.5624004678604976,0.39468960607845954,0.7590457530976964,-0.1796498132770466,,0.5755121594941515,-0.18343146727532902,-0.5388507659918002,-0.3232662613504555,0.5410538156833179,-0.2856138114650347,-0.6513197053961987,-0.6641681847947943,-0.44225087496960724,-0.33202275712130286,-0.05513247310998552,-0.36000497921370417,-0.6143071441031241,-0.13435520480318922,-0.6675499682569169,-0.6306554137574156,0.7461840314285402,-0.4834329711701336,0.04002656673884236,0.936549897744946,0.5494736971317176
tabnet,6,-0.38934755048786135,0.292891656798154,0.4943087960557843,-0.043975159068624294,0.778289562606549,-0.5792382986206357,,0.4306297431119393,-0.549803429729229,-0.3872596578076579,-0.3039196472561321,0.6977458776382993,0.08985205189499099,-0.47299485317785517,-0.8044825497885477,-0.33803037370585626,-0.5666455395300372,0.24935650448886765,-0.14335403716388245,-0.12928285539225476,-0.2059974623100271,-0.7633873184879405,-0.7777925424069233,0.6533081688211408,-0.4170821985631841,0.2381365773330732,0.9908129409549746,-0.2042979596759237
tabpfn,6,-0.39214126052461923,-0.23916777242211992,0.14401123499017235,-0.3740563546764942,0.35498878000697753,-0.5958060196105348,,0.7047065279657013,-0.8232789484644025,-0.4557719390414158,0.7457035100431997,0.8026131384802859,0.3611909311845418,0.22676569095884314,-0.03271107716531981,-0.22177973826364092,-0.44057949606483987,-0.42334122187821555,-0.6480444968667639,-0.00015244926030208707,-0.2547560610356415,0.18523359612173695,-0.009805837269187262,0.1857942823059782,0.1468391310351192,0.8613899435870425,0.9596316629742249,-0.8562280992719307
real-tabpfn,6,-0.3420744190232526,-0.2263330663782252,0.144651326792134,-0.436479152805895,0.26834056460158046,-0.4337464950485532,,0.6293260594987488,-0.7676645347498967,-0.3883200210669781,0.7903763071000038,0.72311870635243,0.2723775791819759,0.2540557415485849,0.1696705452010685,-0.19919045625078755,-0.2555732214386438,-0.5474633277827303,-0.6677954218245978,-0.0363765074334064,-0.3078906284579533,0.39061720891674234,0.20373779428257763,0.13655766881470233,0.16004067208071837,0.8740292978365333,0.9608500676666616,-0.8259166066636582
tabicl,6,-0.386187807574207,-0.4429571808732365,-0.12329515044850108,-0.21714292927886147,0.0988316672108299,-0.5642025592320438,,0.6879268729491494,-0.6416134355969586,-0.489844925470658,0.8934247956489738,0.6277107480016503,0.5079709568201999,0.34050168809100956,0.07403010281255253,-0.21724418005241877,-0.46411048895132734,-0.4119844636969809,-0.6398073707431804,0.07080533834044063,-0.010605928186184119,0.2423291850784272,0.03499233860646896,-0.07287987379716564,0.40225312187848755,0.8104266448954411,0.9422254478856913,-0.8898946948846415
tabdpt,6,-0.28335808245137345,-0.6768286537539042,-0.43427689681581183,0.08293343147847106,-0.022901404537322638,-0.856370134255432,,0.47894954585834354,-0.39448427826481935,-0.4953901527748002,0.49440513115578666,0.40463743417978226,0.8985811442841226,0.1821468239701286,-0.4540670422319327,-0.25696307632327736,-0.8729516187139811,0.2923569758009887,-0.18579715280604303,0.4165616460308908,0.4751625617504683,-0.46610717239937954,-0.6204665336550238,-0.26675723911460514,0.5527648566298645,0.4433806682169069,0.6834111185373936,-0.6869820606490331
