dataset,dataset_path,num_features,num_correlated_features,correlated_ratio,p_over_n_ratio,class_imbalance_ratio,minority_class_fraction,label_entropy,numeric_outlier_cell_ratio,high_cardinality_feature_ratio,correlation_threshold_abs,status
46980_MIC,data/original/46980_MIC.csv,111,43,0.38738738738738737,0.06533254855797528,52.888888888888886,0.016403402187120292,0.7949529729398992,0.023380237525967153,0.0,0.1,ok
credit_rating,data/original/credit_rating.csv,30,1,0.03333333333333333,0.014785608674223755,670.9999999999999,0.0004928536224741252,2.312954238835527,0.07238376868736651,0.0,0.1,ok
dropout_success,data/original/dropout_success.csv,36,15,0.4166666666666667,0.0081374321880651,2.782115869017632,0.1794755877034358,1.4713378818515015,0.048500275178866264,0.0,0.1,ok
locations,data/original/locations.csv,446,98,0.21973094170403587,0.26066627703097606,3.1752577319587627,0.05669199298655757,3.253618804320169,0.0,0.0,0.1,ok
url,data/original/url.csv,82,49,0.5975609756097561,0.007174103237095363,1.0,0.5,1.0,0.05141889315117661,0.0,0.1,ok
us_stocks_financial,data/original/us_stocks_financial.csv,229,13,0.056768558951965066,0.05214025500910747,2.263001485884101,0.3064663023679417,0.8890522122233728,0.1449176841756652,0.0,0.1,ok
