model,context_pct,attack,auc_mean,auc_std,num_seeds,dataset
tabpfn,5.0,AMIA row_max,0.9861328125,0.020313908454775126,5,locations
tabpfn,5.0,RMIA,0.92744140625,0.028968702330647807,5,locations
tabpfn,10.0,AMIA row_max,0.961669921875,0.008790757757514079,5,locations
tabpfn,10.0,RMIA,0.95087890625,0.016208620939996383,5,locations
tabpfn,20.0,AMIA row_max,0.953399658203125,0.007862329517976475,4,locations
tabpfn,20.0,RMIA,0.944696044921875,0.015400562079811081,5,locations
tabpfn,30.0,AMIA row_max,0.949777560763889,0.0073172478803113705,5,locations
tabpfn,30.0,RMIA,0.941650390625,0.013216609630022472,5,locations
tabpfn,40.0,AMIA row_max,0.9421920598249027,0.011921565582434108,5,locations
tabpfn,40.0,RMIA,0.915045902237354,0.02097830345636368,5,locations
tabpfn,50.0,AMIA row_max,0.9457749221183802,0.010574516135679505,5,locations
tabpfn,50.0,RMIA,0.9032642133956387,0.019665161625978433,5,locations
tabpfn,60.0,AMIA row_max,0.9516166125541126,0.006776078354538177,5,locations
tabpfn,60.0,RMIA,0.8931006493506495,0.019827526831105228,5,locations
tabpfn,70.0,AMIA row_max,0.9368296784242143,0.014889923970797156,5,locations
tabpfn,70.0,RMIA,0.8813845169418804,0.018223621468434637,5,locations
tabpfn,80.0,AMIA row_max,0.9310610292245667,0.01863022426752477,5,locations
tabpfn,80.0,RMIA,0.8659059387693839,0.015285827662249415,5,locations
tabpfn,90.0,AMIA row_max,0.9364813518798302,0.016120567719851497,5,locations
tabpfn,90.0,RMIA,0.8591967056038975,0.012515236471717022,5,locations
tabpfn,100.0,AMIA row_max,0.9340803164836874,0.009069960989331126,5,locations
tabpfn,100.0,RMIA,0.8363312289500925,0.02298074553300779,5,locations
real-tabpfn,5.0,AMIA row_max,0.98828125,0.015791954715621316,5,locations
real-tabpfn,5.0,RMIA,0.930078125,0.030552519059783557,5,locations
real-tabpfn,10.0,AMIA row_max,0.96376953125,0.007966619468559793,5,locations
real-tabpfn,10.0,RMIA,0.958203125,0.014812466633433172,5,locations
real-tabpfn,20.0,AMIA row_max,0.95977783203125,0.005446853397783961,5,locations
real-tabpfn,20.0,RMIA,0.953826904296875,0.01069996947391113,5,locations
real-tabpfn,30.0,AMIA row_max,0.9525173611111111,0.006740205182624483,5,locations
real-tabpfn,30.0,RMIA,0.9426405164930556,0.01717951157606128,5,locations
real-tabpfn,40.0,AMIA row_max,0.94453125,0.010587523285492204,5,locations
real-tabpfn,40.0,RMIA,0.8863661235408559,0.018719467048892945,5,locations
real-tabpfn,50.0,AMIA row_max,0.9421281152647974,0.007363998932253819,5,locations
real-tabpfn,50.0,RMIA,0.8747488317757008,0.023589191306251325,5,locations
real-tabpfn,60.0,AMIA row_max,0.9453666125541126,0.009295240243110226,5,locations
real-tabpfn,60.0,RMIA,0.856703869047619,0.03215957449073891,5,locations
real-tabpfn,70.0,AMIA row_max,0.9408058491773355,0.008640056035198684,5,locations
real-tabpfn,70.0,RMIA,0.8546435781568544,0.007230120935220115,5,locations
real-tabpfn,80.0,AMIA row_max,0.9334518883303125,0.010907151818556981,5,locations
real-tabpfn,80.0,RMIA,0.840133906349152,0.023218306290152264,5,locations
real-tabpfn,90.0,AMIA row_max,0.9394369370045865,0.01311478711245751,5,locations
real-tabpfn,90.0,RMIA,0.8319242240838136,0.023001576705176132,5,locations
real-tabpfn,100.0,AMIA row_max,0.9366133523845626,0.013220247150644921,5,locations
real-tabpfn,100.0,RMIA,0.8175740300640063,0.0211604117113723,5,locations
tabicl,5.0,AMIA row_max,1.0,0.0,5,locations
tabicl,5.0,RMIA,0.98720703125,0.009780262467620532,5,locations
tabicl,10.0,AMIA row_max,0.99970703125,0.0006550980402831415,5,locations
tabicl,10.0,RMIA,0.906787109375,0.02282153381819733,5,locations
tabicl,20.0,AMIA row_max,0.9994873046875,0.0003331871109364302,5,locations
tabicl,20.0,RMIA,0.895751953125,0.018944817467740446,5,locations
tabicl,30.0,AMIA row_max,0.9967339409722221,0.0027211780751385654,5,locations
tabicl,30.0,RMIA,0.8779703776041666,0.029867772965950883,5,locations
tabicl,40.0,AMIA row_max,0.9964007782101166,0.002491276609047304,5,locations
tabicl,40.0,RMIA,0.9070388497081712,0.015001940774056737,5,locations
tabicl,50.0,AMIA row_max,0.9959384735202492,0.003767268026879184,5,locations
tabicl,50.0,RMIA,0.889718652647975,0.025556079236184505,5,locations
tabicl,60.0,AMIA row_max,0.9963812229437229,0.003584883325435308,5,locations
tabicl,60.0,RMIA,0.9037614989177489,0.02267865649876826,5,locations
tabicl,70.0,AMIA row_max,0.9977847332106489,0.001820902495883176,5,locations
tabicl,70.0,RMIA,0.8939573712431981,0.01185689058011181,5,locations
tabicl,80.0,AMIA row_max,0.9973963498740354,0.001683660023085792,5,locations
tabicl,80.0,RMIA,0.894982691730409,0.02007994353468622,5,locations
tabicl,90.0,AMIA row_max,0.9980097858702607,0.001367538100958786,5,locations
tabicl,90.0,RMIA,0.8952554448546086,0.013587053135717807,5,locations
tabicl,100.0,AMIA row_max,0.9980715490301856,0.0009327267943530566,5,locations
tabicl,100.0,RMIA,0.899355563007567,0.008200684196655372,5,locations
tabdpt,5.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,5.0,RMIA,1.0,0.0,5,locations
tabdpt,10.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,10.0,RMIA,0.9884033203125,0.006040938980302062,5,locations
tabdpt,20.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,20.0,RMIA,0.9486007690429688,0.0015535765389354218,4,locations
tabdpt,30.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,30.0,RMIA,0.9348924424913194,0.014167656447511997,4,locations
tabdpt,40.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,40.0,RMIA,0.9273581894455253,0.00687841605618495,4,locations
tabdpt,50.0,AMIA row_max,1.0,0.0,5,locations
tabdpt,50.0,RMIA,0.9212933216510903,0.019329916268038535,4,locations
tabdpt,60.0,AMIA row_max,0.9998768939393938,0.0002426783657628932,5,locations
tabdpt,60.0,RMIA,0.9045353084415584,0.021682233257855735,4,locations
tabdpt,70.0,AMIA row_max,0.9999880952971463,2.6619724832670007e-05,5,locations
tabdpt,70.0,RMIA,0.9060991760953567,0.011225406671847701,4,locations
tabdpt,80.0,AMIA row_max,0.9998913245861024,0.00024088705746427508,5,locations
tabdpt,80.0,RMIA,0.8959722649704183,0.021128543770713652,4,locations
tabdpt,90.0,AMIA row_max,0.9999783737673799,3.0290667945361198e-05,5,locations
tabdpt,90.0,RMIA,0.8757426508354634,0.019400347544631127,4,locations
tabdpt,100.0,AMIA row_max,0.9999995139992516,1.0867307105897976e-06,5,locations
tabdpt,100.0,RMIA,0.9015083033227871,0.009890731108588072,5,locations
tabpfn,5.0,AMIA row_max,0.8552453717308257,0.03160436077045563,5,dropout_success
tabpfn,5.0,RMIA,0.7602703496914487,0.0741533500535346,5,dropout_success
tabpfn,10.0,AMIA row_max,0.8291858342460753,0.025151981256344456,5,dropout_success
tabpfn,10.0,RMIA,0.7447462577583059,0.0192143130621527,5,dropout_success
tabpfn,20.0,AMIA row_max,0.8122156298911658,0.026455021401774356,5,dropout_success
