dataset,model,seed,layer,row_max_auc,n_samples,n_members,n_nonmembers,calls_per_layer,n_heads,source
locations,tabdpt,2,0,0.9993511890008311,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,1,0.8969824213529289,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,2,0.9990182784881488,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,3,0.8638396003129843,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,4,0.9568455635421679,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,5,0.9662496780245042,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,6,0.99983475974553,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,7,0.9999465399176715,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,8,0.9995334392814965,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,9,0.9901171747804491,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,10,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,11,0.8969605513192489,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,12,0.9761811033188992,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,13,0.9272311079359062,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,14,0.9163009511034647,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,2,15,0.09964473345288952,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/signals/attn_signals_0.npz
locations,tabdpt,3,0,0.9985808778145518,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,1,0.8968730711845296,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,2,0.9994143690981284,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,3,0.8508828203595433,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,4,0.9732164987534081,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,5,0.9672775696074574,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,6,0.999987849981289,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,7,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,8,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,9,0.9914415268199512,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,10,0.9999975699962579,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,11,0.9069089866398394,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,12,0.9973415759060269,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,13,0.9250611145941164,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,14,0.9726114278215989,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,3,15,0.1524365647523097,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/signals/attn_signals_0.npz
locations,tabdpt,4,0,0.998736398054053,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,1,0.9106171723504454,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,2,0.9986027478482317,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,3,0.797204037694218,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,4,0.971491196096442,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,5,0.9303415127259297,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,6,0.9993123089409558,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,7,0.9997472796108106,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,8,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,9,0.9925739085638192,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,10,0.9999951399925157,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,11,0.775343724029335,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,12,0.9855852178012354,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,13,0.9268398773334112,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,14,0.9781080962864683,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,4,15,0.07349303317927108,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/signals/attn_signals_0.npz
locations,tabdpt,5,0,0.9992539888511428,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,1,0.8450726814119294,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,2,0.9987193880278575,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,3,0.8538741549661986,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,4,0.983028853864435,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,5,0.9631927333168093,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,6,0.9999562599326403,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,7,0.9998882198278586,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,8,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,9,0.9902702650162082,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,10,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,11,0.9607189895072439,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,12,0.9852595972997799,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,13,0.9460101768556723,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,14,0.9697999134918668,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
locations,tabdpt,5,15,0.00957178474054849,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,0,0.9190595001019155,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,1,0.727657895396582,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,2,0.8396893340469233,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,3,0.5374603828606163,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,4,0.7639681413344058,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,5,0.8371463524254974,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,6,0.9899952076114321,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,7,0.9990535123412181,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,8,0.9999989099950187,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,9,0.8017106538176879,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,10,0.996768135230378,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,11,0.6234359791024244,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,12,0.8478400279622611,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,13,0.8423216960768177,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,14,0.9796855771630877,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,1,15,0.5903525112443098,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,0,0.9283063756934702,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,1,0.7326130580416752,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,2,0.8445532996085792,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,3,0.549023519037482,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,4,0.7683597714041552,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,5,0.8381084634890115,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,6,0.9924517155043397,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,7,0.9988696648343683,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,8,0.999995276645081,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,9,0.7700013189060274,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,10,0.9937691681917653,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,11,0.6199955600463761,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,12,0.8249978835736613,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,13,0.8458634855961291,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,14,0.9772243459152609,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,2,15,0.5330418660013276,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,0,0.9166451390682856,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,1,0.7291908057353156,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,2,0.8452105726123169,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,3,0.5588644473438578,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,4,0.7810041925224931,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,5,0.8459826594740871,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,6,0.9924291887347257,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,7,0.9980438043935194,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,8,0.9998790094470732,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,9,0.7781679995610913,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,10,0.9937953283113171,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,11,0.6786596281411673,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,12,0.9293055469263495,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,13,0.8466344824529182,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,14,0.9750105457981944,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,3,15,0.5213254024570892,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,0,0.9249756838055416,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,1,0.7356025783704498,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,2,0.840692501964734,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,3,0.5452295750324913,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,4,0.7909693813967396,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,5,0.8522360180519358,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,6,0.9936281942141809,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,7,0.9992420832029869,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,8,0.9999952766450809,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,9,0.784113976734207,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,10,0.9944188111606337,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,11,0.6328151086317132,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,12,0.8237047743308187,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,13,0.8754716542387933,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,14,0.9523035620272784,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,4,15,0.5064144976475876,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed4/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,0,0.9192571543385287,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,1,0.7438310259744554,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,2,0.8422533890979882,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,3,0.5433060795754503,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,4,0.7828346742211278,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,5,0.8496643329660016,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,6,0.9932612258704688,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,7,0.9993027601469472,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,8,1.0,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,9,0.7837611784552522,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,10,0.9929767345703437,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,11,0.6241804525046679,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,12,0.9392798191754403,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,13,0.9231699088864835,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,14,0.955932188610102,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
dropout_success,tabdpt,5,15,0.5132855257148525,3318,1659,1659,1,8,ml_privacy_meter/logs/dropout_success/tabdpt/seed5/amia/signals/attn_signals_0.npz
