dataset,model,seed,layer,row_max_auc,n_samples,n_members,n_nonmembers,calls_per_layer,n_heads,source
locations,tabdpt,1,0,0.9992758588848227,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,1,0.8996894455217461,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,2,0.9991908087538455,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,3,0.8486715169541361,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,4,0.9821419024985298,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,5,0.9602572887962249,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,6,0.999715689562162,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,7,0.9999270998877339,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,8,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,9,0.9956721633351315,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,10,1.0,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,11,0.9496867725176297,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,12,0.9927901788968755,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,13,0.9380470545924641,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,14,0.9786524171247223,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
locations,tabdpt,1,15,0.04775443354182763,1283,641,642,1,8,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/signals/attn_signals_0.npz
