dataset,model,attack_p,lira,lira_online,rmia,rmia_online
46980_MIC,lightgbm,0.53442,0.5662200000000001,0.59582,0.63925461465921,0.65726
46980_MIC,mlp,0.67618,0.59888,0.73272,0.7229877931855138,0.7264
46980_MIC,real-tabpfn,0.5637800000000001,0.6008,0.61324,0.6675018190701596,0.7039799999999999
46980_MIC,rf,0.53788,0.5648799999999999,0.57024,0.6201784133505301,0.6517999999999999
46980_MIC,tabdpt,0.94468,0.73518,0.9420400000000001,0.910784130878486,0.91006
46980_MIC,tabicl,0.7224600000000001,0.71912,0.87988,0.8589512699342509,0.8965799999999999
46980_MIC,tabnet,0.53732,0.5382399999999999,0.5578000000000001,0.5896939496544423,0.5884199999999999
46980_MIC,tabpfn,0.56188,0.60128,0.6159800000000001,0.6660139904226284,0.70354
credit_rating,lightgbm,0.9669399999999999,0.7436,0.95814,0.9280524240957188,0.9295
credit_rating,mlp,0.5157,0.51312,0.49528,0.5109819143785876,0.52848
credit_rating,real-tabpfn,0.85946,0.72778,0.9085000000000001,0.9296579984784564,0.9572799999999999
credit_rating,rf,0.91838,0.74744,0.9811399999999999,0.9788882357009476,0.99278
credit_rating,tabdpt,0.99536,0.7473,0.98946,0.9795826129054568,0.9796400000000001
credit_rating,tabicl,0.98902,0.74614,0.99024,0.9826991838993016,0.98302
credit_rating,tabnet,0.53688,0.53918,0.52138,0.5550157341448234,0.5736399999999999
credit_rating,tabpfn,0.8575800000000001,0.72514,0.91138,0.9289475413237428,0.95794
dropout_success,lightgbm,0.58294,0.62736,0.70198,0.7457310499908983,0.7889
dropout_success,mlp,0.56038,0.54496,0.54198,0.5884965960961107,0.6031799999999999
dropout_success,real-tabpfn,0.55354,0.63022,0.66716,0.7097187750814689,0.77306
dropout_success,rf,0.6184000000000001,0.6853,0.80938,0.8549696052110958,0.8969400000000001
dropout_success,tabdpt,0.91074,0.75342,0.98508,0.9749289407585928,0.9816
dropout_success,tabicl,0.65348,0.7184999999999999,0.87342,0.8672009144415125,0.9255599999999999
dropout_success,tabnet,0.59354,0.5769,0.57756,0.6359517796329663,0.64412
dropout_success,tabpfn,0.5546,0.63254,0.6717000000000001,0.7158132836000394,0.78024
locations,lightgbm,0.8406800000000001,0.71286,0.9257200000000001,0.8537657767992963,0.85516
locations,mlp,0.8779999999999999,0.69804,0.92222,0.8196733102968979,0.82014
locations,real-tabpfn,0.7004400000000001,0.6967800000000001,0.8215199999999999,0.8175740300640063,0.85906
locations,rf,0.78168,0.73906,0.9652000000000001,0.9682274580702854,0.9857799999999999
locations,tabdpt,0.9635199999999999,0.73144,0.9430999999999999,0.9015083033227872,0.89994
locations,tabicl,0.8143799999999999,0.74206,0.98644,0.899355563007567,0.8997999999999999
locations,tabnet,0.6831400000000001,0.59266,0.62486,0.6942992112207853,0.6900999999999999
locations,tabpfn,0.7121000000000001,0.70348,0.84596,0.8363312289500925,0.8601800000000001
url,lightgbm,0.5266,0.55392,0.5773400000000001,0.599859824246279,0.61456
url,mlp,0.5037200000000001,0.5092000000000001,0.50468,0.5143336594483683,0.5172399999999999
url,real-tabpfn,0.58586,0.63504,0.6966,0.7309970889170462,0.75396
url,rf,0.58404,0.66964,0.69078,0.7882525587110494,0.8258800000000001
url,tabdpt,0.85178,0.7256199999999999,0.9267199999999999,0.8836058495151498,0.8909
url,tabicl,0.82714,0.72868,0.9531000000000001,0.872188444553222,0.87378
url,tabnet,0.5393600000000001,0.5315799999999999,0.54152,0.5625022890836675,0.56364
url,tabpfn,0.57878,0.62926,0.68652,0.7238755727064144,0.74726
us_stocks_financial,lightgbm,0.57912,0.6089,0.61788,0.673708042699851,0.69452
us_stocks_financial,mlp,0.5250199999999999,0.5141199999999999,0.51594,0.5264882627757999,0.5346
us_stocks_financial,real-tabpfn,0.58352,0.64516,0.67882,0.7107557336866464,0.7538400000000001
us_stocks_financial,rf,0.59398,0.6037600000000001,0.58694,0.6736207466686132,0.6906399999999999
us_stocks_financial,tabdpt,0.69714,0.67078,0.76048,0.7568328129855796,0.7584799999999999
us_stocks_financial,tabicl,0.66408,0.77414,0.86736,0.8378363044581804,0.8819000000000001
us_stocks_financial,tabnet,0.50526,0.51022,0.5046999999999999,0.5201561301315449,0.5243
us_stocks_financial,tabpfn,0.5599000000000001,0.6016999999999999,0.62474,0.6595770345081065,0.7027599999999999
