dataset,model,attack,predict_type,attack_auc
46980_MIC,lightgbm,rmia,predict_proba,0.6082
46980_MIC,lightgbm,rmia,predict_proba,0.6878
46980_MIC,lightgbm,rmia,predict_proba,0.5818
46980_MIC,lightgbm,rmia,predict_proba,0.656
46980_MIC,lightgbm,rmia,predict_proba,0.6625
credit_rating,lightgbm,rmia,predict_proba,0.9382
credit_rating,lightgbm,rmia,predict_proba,0.9689
credit_rating,lightgbm,rmia,predict_proba,0.9029
credit_rating,lightgbm,rmia,predict_proba,0.9135
credit_rating,lightgbm,rmia,predict_proba,0.9168
dropout_success,lightgbm,rmia,predict_proba,0.7741
dropout_success,lightgbm,rmia,predict_proba,0.7291
dropout_success,lightgbm,rmia,predict_proba,0.7592
dropout_success,lightgbm,rmia,predict_proba,0.6947
dropout_success,lightgbm,rmia,predict_proba,0.7715
locations,lightgbm,rmia,predict_proba,0.8903
locations,lightgbm,rmia,predict_proba,0.793
locations,lightgbm,rmia,predict_proba,0.8567
locations,lightgbm,rmia,predict_proba,0.8952
locations,lightgbm,rmia,predict_proba,0.8336
url,lightgbm,rmia,predict_proba,0.6013
url,lightgbm,rmia,predict_proba,0.5692
url,lightgbm,rmia,predict_proba,0.6157
url,lightgbm,rmia,predict_proba,0.592
url,lightgbm,rmia,predict_proba,0.621
us_stocks_financial,lightgbm,rmia,predict_proba,0.6799
us_stocks_financial,lightgbm,rmia,predict_proba,0.5973
us_stocks_financial,lightgbm,rmia,predict_proba,0.8031
us_stocks_financial,lightgbm,rmia,predict_proba,0.6418
us_stocks_financial,lightgbm,rmia,predict_proba,0.6465
46980_MIC,mlp,rmia,predict_logits,0.7179
46980_MIC,mlp,rmia,predict_logits,0.6942
46980_MIC,mlp,rmia,predict_logits,0.7197
46980_MIC,mlp,rmia,predict_logits,0.7384
46980_MIC,mlp,rmia,predict_logits,0.7447
credit_rating,mlp,rmia,predict_logits,0.4998
credit_rating,mlp,rmia,predict_logits,0.5058
credit_rating,mlp,rmia,predict_logits,0.5258
credit_rating,mlp,rmia,predict_logits,0.5206
credit_rating,mlp,rmia,predict_logits,0.503
dropout_success,mlp,rmia,predict_logits,0.5455
dropout_success,mlp,rmia,predict_logits,0.5517
dropout_success,mlp,rmia,predict_logits,0.6107
dropout_success,mlp,rmia,predict_logits,0.6124
dropout_success,mlp,rmia,predict_logits,0.6222
locations,mlp,rmia,predict_logits,0.8349
locations,mlp,rmia,predict_logits,0.8232
locations,mlp,rmia,predict_logits,0.8252
locations,mlp,rmia,predict_logits,0.8112
locations,mlp,rmia,predict_logits,0.8039
url,mlp,rmia,predict_logits,0.5226
url,mlp,rmia,predict_logits,0.5124
url,mlp,rmia,predict_logits,0.5034
url,mlp,rmia,predict_logits,0.513
url,mlp,rmia,predict_logits,0.5203
us_stocks_financial,mlp,rmia,predict_logits,0.5131
us_stocks_financial,mlp,rmia,predict_logits,0.5187
us_stocks_financial,mlp,rmia,predict_logits,0.5331
us_stocks_financial,mlp,rmia,predict_logits,0.5419
us_stocks_financial,mlp,rmia,predict_logits,0.5256
46980_MIC,real-tabpfn,rmia,predict_logits,0.6628
46980_MIC,real-tabpfn,rmia,predict_logits,0.7013
46980_MIC,real-tabpfn,rmia,predict_logits,0.6624
46980_MIC,real-tabpfn,rmia,predict_logits,0.6479
46980_MIC,real-tabpfn,rmia,predict_logits,0.6631
credit_rating,real-tabpfn,rmia,predict_logits,0.9365
credit_rating,real-tabpfn,rmia,predict_logits,0.9439
credit_rating,real-tabpfn,rmia,predict_logits,0.9055
credit_rating,real-tabpfn,rmia,predict_logits,0.9242
credit_rating,real-tabpfn,rmia,predict_logits,0.9382
dropout_success,real-tabpfn,rmia,predict_logits,0.7241
dropout_success,real-tabpfn,rmia,predict_logits,0.7006
dropout_success,real-tabpfn,rmia,predict_logits,0.7265
dropout_success,real-tabpfn,rmia,predict_logits,0.704
dropout_success,real-tabpfn,rmia,predict_logits,0.6934
locations,real-tabpfn,rmia,predict_logits,0.8183
locations,real-tabpfn,rmia,predict_logits,0.7917
locations,real-tabpfn,rmia,predict_logits,0.8505
locations,real-tabpfn,rmia,predict_logits,0.8152
locations,real-tabpfn,rmia,predict_logits,0.8121
url,real-tabpfn,rmia,predict_logits,0.7189
url,real-tabpfn,rmia,predict_logits,0.7202
url,real-tabpfn,rmia,predict_logits,0.7445
url,real-tabpfn,rmia,predict_logits,0.7312
url,real-tabpfn,rmia,predict_logits,0.7401
us_stocks_financial,real-tabpfn,rmia,predict_logits,0.689
us_stocks_financial,real-tabpfn,rmia,predict_logits,0.673
us_stocks_financial,real-tabpfn,rmia,predict_logits,0.7619
us_stocks_financial,real-tabpfn,rmia,predict_logits,0.7084
us_stocks_financial,real-tabpfn,rmia,predict_logits,0.7215
46980_MIC,rf,rmia,predict_proba,0.5921
46980_MIC,rf,rmia,predict_proba,0.6353
46980_MIC,rf,rmia,predict_proba,0.6716
46980_MIC,rf,rmia,predict_proba,0.5641
46980_MIC,rf,rmia,predict_proba,0.6378
credit_rating,rf,rmia,predict_proba,0.7655
credit_rating,rf,rmia,predict_proba,0.9889
credit_rating,rf,rmia,predict_proba,0.9826
credit_rating,rf,rmia,predict_proba,0.978
credit_rating,rf,rmia,predict_proba,0.9841
credit_rating,rf,rmia,predict_proba,0.9609
dropout_success,rf,rmia,predict_proba,0.7678
dropout_success,rf,rmia,predict_proba,0.8745
dropout_success,rf,rmia,predict_proba,0.8939
dropout_success,rf,rmia,predict_proba,0.9304
dropout_success,rf,rmia,predict_proba,0.8083
locations,rf,rmia,predict_proba,0.9529
locations,rf,rmia,predict_proba,0.9969
locations,rf,rmia,predict_proba,0.9468
locations,rf,rmia,predict_proba,0.9506
locations,rf,rmia,predict_proba,0.9939
url,rf,rmia,predict_proba,0.77
url,rf,rmia,predict_proba,0.767
url,rf,rmia,predict_proba,0.7603
url,rf,rmia,predict_proba,0.7969
url,rf,rmia,predict_proba,0.847
us_stocks_financial,rf,rmia,predict_proba,0.6631
us_stocks_financial,rf,rmia,predict_proba,0.8327
us_stocks_financial,rf,rmia,predict_proba,0.5952
us_stocks_financial,rf,rmia,predict_proba,0.6575
us_stocks_financial,rf,rmia,predict_proba,0.6196
46980_MIC,tabdpt,rmia,predict_proba,0.8885
46980_MIC,tabdpt,rmia,predict_proba,0.9193
46980_MIC,tabdpt,rmia,predict_proba,0.875
46980_MIC,tabdpt,rmia,predict_proba,0.9368
46980_MIC,tabdpt,rmia,predict_proba,0.9343
credit_rating,tabdpt,rmia,predict_proba,0.9794
credit_rating,tabdpt,rmia,predict_proba,0.9792
credit_rating,tabdpt,rmia,predict_proba,0.9761
credit_rating,tabdpt,rmia,predict_proba,0.9844
credit_rating,tabdpt,rmia,predict_proba,0.9792
dropout_success,tabdpt,rmia,predict_proba,0.9727
dropout_success,tabdpt,rmia,predict_proba,0.9765
dropout_success,tabdpt,rmia,predict_proba,0.9753
dropout_success,tabdpt,rmia,predict_proba,0.9822
