dataset,model,attack,predict_type,attack_auc
dropout_success,tabdpt,rmia,predict_proba,0.968
locations,tabdpt,rmia,predict_proba,0.8856
locations,tabdpt,rmia,predict_proba,0.9028
locations,tabdpt,rmia,predict_proba,0.8997
locations,tabdpt,rmia,predict_proba,0.9093
locations,tabdpt,rmia,predict_proba,0.9101
url,tabdpt,rmia,predict_proba,0.8977
url,tabdpt,rmia,predict_proba,0.867
url,tabdpt,rmia,predict_proba,0.9022
url,tabdpt,rmia,predict_proba,0.8736
url,tabdpt,rmia,predict_proba,0.8775
us_stocks_financial,tabdpt,rmia,predict_proba,0.7653
us_stocks_financial,tabdpt,rmia,predict_proba,0.7442
us_stocks_financial,tabdpt,rmia,predict_proba,0.7648
us_stocks_financial,tabdpt,rmia,predict_proba,0.7667
us_stocks_financial,tabdpt,rmia,predict_proba,0.7432
46980_MIC,tabicl,rmia,predict_proba,0.8834
46980_MIC,tabicl,rmia,predict_proba,0.8573
46980_MIC,tabicl,rmia,predict_proba,0.7858
46980_MIC,tabicl,rmia,predict_proba,0.8704
46980_MIC,tabicl,rmia,predict_proba,0.8978
credit_rating,tabicl,rmia,predict_proba,0.9819
credit_rating,tabicl,rmia,predict_proba,0.9856
credit_rating,tabicl,rmia,predict_proba,0.9779
credit_rating,tabicl,rmia,predict_proba,0.9892
credit_rating,tabicl,rmia,predict_proba,0.979
dropout_success,tabicl,rmia,predict_proba,0.8808
dropout_success,tabicl,rmia,predict_proba,0.8346
dropout_success,tabicl,rmia,predict_proba,0.8675
dropout_success,tabicl,rmia,predict_proba,0.8762
dropout_success,tabicl,rmia,predict_proba,0.8769
locations,tabicl,rmia,predict_proba,0.9099
locations,tabicl,rmia,predict_proba,0.8871
locations,tabicl,rmia,predict_proba,0.8979
locations,tabicl,rmia,predict_proba,0.9015
locations,tabicl,rmia,predict_proba,0.9004
url,tabicl,rmia,predict_proba,0.8804
url,tabicl,rmia,predict_proba,0.8746
url,tabicl,rmia,predict_proba,0.9043
url,tabicl,rmia,predict_proba,0.8666
url,tabicl,rmia,predict_proba,0.835
us_stocks_financial,tabicl,rmia,predict_proba,0.8371
us_stocks_financial,tabicl,rmia,predict_proba,0.8843
us_stocks_financial,tabicl,rmia,predict_proba,0.8196
us_stocks_financial,tabicl,rmia,predict_proba,0.843
us_stocks_financial,tabicl,rmia,predict_proba,0.8051
46980_MIC,tabnet,rmia,predict_proba,0.5579
46980_MIC,tabnet,rmia,predict_proba,0.5815
46980_MIC,tabnet,rmia,predict_proba,0.6016
46980_MIC,tabnet,rmia,predict_proba,0.596
46980_MIC,tabnet,rmia,predict_proba,0.6115
credit_rating,tabnet,rmia,predict_proba,0.5168
credit_rating,tabnet,rmia,predict_proba,0.5714
credit_rating,tabnet,rmia,predict_proba,0.5812
credit_rating,tabnet,rmia,predict_proba,0.5634
credit_rating,tabnet,rmia,predict_proba,0.5423
dropout_success,tabnet,rmia,predict_proba,0.6323
dropout_success,tabnet,rmia,predict_proba,0.6587
dropout_success,tabnet,rmia,predict_proba,0.7202
dropout_success,tabnet,rmia,predict_proba,0.6065
dropout_success,tabnet,rmia,predict_proba,0.5621
locations,tabnet,rmia,predict_proba,0.7208
locations,tabnet,rmia,predict_proba,0.6671
locations,tabnet,rmia,predict_proba,0.7062
locations,tabnet,rmia,predict_proba,0.664
locations,tabnet,rmia,predict_proba,0.7134
url,tabnet,rmia,predict_proba,0.561
url,tabnet,rmia,predict_proba,0.5648
url,tabnet,rmia,predict_proba,0.5664
url,tabnet,rmia,predict_proba,0.5566
url,tabnet,rmia,predict_proba,0.5638
us_stocks_financial,tabnet,rmia,predict_proba,0.5022
us_stocks_financial,tabnet,rmia,predict_proba,0.5158
us_stocks_financial,tabnet,rmia,predict_proba,0.5187
us_stocks_financial,tabnet,rmia,predict_proba,0.5325
us_stocks_financial,tabnet,rmia,predict_proba,0.5316
46980_MIC,tabpfn,rmia,predict_logits,0.6627
46980_MIC,tabpfn,rmia,predict_logits,0.6894
46980_MIC,tabpfn,rmia,predict_logits,0.6595
46980_MIC,tabpfn,rmia,predict_logits,0.6527
46980_MIC,tabpfn,rmia,predict_logits,0.6657
credit_rating,tabpfn,rmia,predict_logits,0.9377
credit_rating,tabpfn,rmia,predict_logits,0.9395
credit_rating,tabpfn,rmia,predict_logits,0.9085
credit_rating,tabpfn,rmia,predict_logits,0.9207
credit_rating,tabpfn,rmia,predict_logits,0.9385
dropout_success,tabpfn,rmia,predict_logits,0.7292
dropout_success,tabpfn,rmia,predict_logits,0.7087
dropout_success,tabpfn,rmia,predict_logits,0.7314
dropout_success,tabpfn,rmia,predict_logits,0.7042
dropout_success,tabpfn,rmia,predict_logits,0.7056
locations,tabpfn,rmia,predict_logits,0.8475
locations,tabpfn,rmia,predict_logits,0.7959
locations,tabpfn,rmia,predict_logits,0.8486
locations,tabpfn,rmia,predict_logits,0.8394
locations,tabpfn,rmia,predict_logits,0.8503
url,tabpfn,rmia,predict_logits,0.7101
url,tabpfn,rmia,predict_logits,0.715
url,tabpfn,rmia,predict_logits,0.7377
url,tabpfn,rmia,predict_logits,0.718
url,tabpfn,rmia,predict_logits,0.7386
us_stocks_financial,tabpfn,rmia,predict_logits,0.6388
us_stocks_financial,tabpfn,rmia,predict_logits,0.6475
us_stocks_financial,tabpfn,rmia,predict_logits,0.7085
us_stocks_financial,tabpfn,rmia,predict_logits,0.6451
us_stocks_financial,tabpfn,rmia,predict_logits,0.658
