dataset,attack,attack_label,fpr,mean_tpr,std_tpr_across_models,mean_auc,std_auc_across_models,n_models,n_seed_curves
locations,rmia,RMIA,0.12,0.5352191921443091,0.19745002564746975,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1225,0.5414320123032194,0.19650391188942545,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.125,0.5472413684426165,0.19601396434749396,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1275,0.5541868551939049,0.19558848505005955,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.13,0.5615048068437889,0.1953212146665537,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1325,0.5670768455321548,0.19489198469142158,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.135,0.5730092574536315,0.19516259480440257,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1375,0.5783095234226036,0.19523064486502362,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.14,0.5846349280637892,0.19538890185978117,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.14250000000000002,0.5893349378141793,0.19479867716613097,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.145,0.5941736804472179,0.1940281870632849,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1475,0.6008235574065819,0.19339631111230668,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.15,0.6059752897258748,0.19297306449076998,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1525,0.6105949192729615,0.1921342524236037,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.155,0.6163158532055568,0.19097855673311692,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1575,0.6214386650168389,0.18997755510662995,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.16,0.6261864602679346,0.18832152479499775,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1625,0.6311614834831488,0.18765498391950963,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.165,0.6366109216749622,0.187788403577311,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1675,0.6409875275894494,0.1874427045778078,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.17,0.6451967960560528,0.1870959460507655,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.17250000000000001,0.6500298371342749,0.1874125539258332,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.17500000000000002,0.6553874069436463,0.18766087474765053,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1775,0.6616682233078797,0.18777876542333538,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.18,0.6663401278156389,0.18708843357140809,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1825,0.6716614978575752,0.18731665318060065,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.185,0.6767374931956343,0.1868805784922698,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1875,0.6827071419584019,0.18654994583411774,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.19,0.6886912296558697,0.18601885949799285,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1925,0.693745105769874,0.18629499004553532,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.195,0.6989231541841039,0.1862005880548776,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1975,0.7054522633544231,0.18657270294310718,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2,0.7107967874270527,0.18607407314860328,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2025,0.7148614950391666,0.18497036329491315,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.20500000000000002,0.7194737562319954,0.18472513083507072,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.20750000000000002,0.723492756878926,0.18448261665646784,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.21,0.727804741578552,0.184976732536216,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2125,0.732504175901163,0.18398347776145624,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.215,0.7370150794682581,0.18338509362800318,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2175,0.7413220253056154,0.18279434854994833,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.22,0.7449900605865505,0.18261760755866474,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2225,0.7485912341930185,0.18204618139823578,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.225,0.7533033726219178,0.18131784624573802,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2275,0.7579449124490953,0.18027402293915648,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.23,0.762135936898515,0.17945332240788922,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2325,0.7660583722293698,0.1786934325103319,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.23500000000000001,0.7692296570142027,0.17827885129441318,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.23750000000000002,0.7726681528624783,0.17737631200160087,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.24,0.7762523070013709,0.17677902292820755,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2425,0.7800765731038906,0.17661437548302938,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.245,0.78449574066366,0.17563858268258195,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2475,0.7884265339384585,0.1748642671231966,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.25,0.7922338362021876,0.17421719777080372,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2525,0.7955997506139741,0.17344794953343048,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.255,0.7992217808418219,0.17299766601038594,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2575,0.8022571967658119,0.17273092985467087,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.26,0.804792670799269,0.17207903133663788,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2625,0.8083001275513205,0.17159421849539971,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.265,0.812286765827776,0.17081460452142702,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2675,0.8153994490210281,0.1697772029289729,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.27,0.8187796956163961,0.16926298459369332,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2725,0.8218639432720166,0.16855442351653926,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.275,0.824621128952301,0.16757248442328102,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2775,0.8276411580213209,0.16567264621545857,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.28,0.8303047690479048,0.16430015564778194,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.28250000000000003,0.8326255807375152,0.1629549009054815,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.28500000000000003,0.8349543264587727,0.16111249661165322,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.28750000000000003,0.837172280432884,0.15995782871888994,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.29,0.83982911633132,0.15902707313779643,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2925,0.8424001487976186,0.15734155175868728,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.295,0.8448279749220271,0.15570334204112907,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.2975,0.8469586852413491,0.1545295209402942,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3,0.8493871518280646,0.1531797910999801,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3025,0.8517566036732379,0.15185618961839564,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.305,0.8541948629373747,0.1509657291336481,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3075,0.8564587768705554,0.15012268381313157,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.31,0.8592847095312384,0.14885528728635086,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3125,0.8610402099119678,0.1476713527170247,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.315,0.8626648982030709,0.14660622951698973,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3175,0.8641796799193396,0.14535392884812118,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.32,0.8657739635299697,0.14417459785659462,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3225,0.8673839923954101,0.14308548061923987,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.325,0.8687927017080683,0.1420195130781307,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3275,0.8703056971683629,0.1410697117658771,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.33,0.8715602686012203,0.14079929604544056,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3325,0.8733580184755009,0.14029140706994203,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.335,0.8748965759106555,0.13951843919861975,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3375,0.8761232952294283,0.1385822935647501,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.34,0.8773062699650843,0.13784250591195768,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3425,0.8784035593566599,0.13721488575928492,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.34500000000000003,0.8797701275908179,0.13640890307275352,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.34750000000000003,0.8814173041564519,0.1353600194672161,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.35000000000000003,0.8840458361191591,0.133810240439877,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3525,0.8853777853614144,0.13306237013644578,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.355,0.8868171045478183,0.13217550203851783,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3575,0.888400975250049,0.13118658861137533,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.36,0.8897441673251345,0.13050607346148696,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3625,0.8911288227016094,0.12988615105606918,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.365,0.8924558152001405,0.1294805316603089,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3675,0.8935382539879517,0.12893176921491642,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.37,0.8950098373415456,0.12841319234759938,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3725,0.8967388316246936,0.12753906952822575,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.375,0.8984575231223536,0.126280495091389,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3775,0.8999613972773196,0.12501675799621115,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.38,0.9012555177921402,0.12392077969531168,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3825,0.9025791277917351,0.12297568284023251,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.385,0.9039291834660398,0.12217311229633276,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3875,0.9055036176690574,0.12115391791301171,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.39,0.9072741196790729,0.12014273614462231,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3925,0.9089483108187965,0.11907026955796583,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.395,0.9109094921524133,0.11818917977806764,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.3975,0.912829149487408,0.11728832835653061,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4,0.9143004420176808,0.11637593448538408,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4025,0.9156902621462002,0.11531351008605716,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.405,0.9169596203848154,0.11428198323167874,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.40750000000000003,0.918169062941089,0.11389190834881568,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.41000000000000003,0.919457297006166,0.11334605841196776,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.41250000000000003,0.9203415649125966,0.11293563907084858,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.41500000000000004,0.9212881229534895,0.11255697465666185,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4175,0.9225406874667843,0.11206402757661783,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.42,0.9238119541145283,0.11069784964395295,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4225,0.9247389461617425,0.11015134021535031,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.425,0.9256429792906002,0.10959486899247284,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4275,0.9268888206989319,0.10831416844435449,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.43,0.9279392031720229,0.10772794990007388,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4325,0.9291586401118384,0.10641492298313004,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.435,0.9302021945163521,0.10576212879067357,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4375,0.9313424815401707,0.10492208711842098,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.44,0.9324917918534923,0.10374081855308302,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4425,0.9333433122552176,0.10297762739196051,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.445,0.9341287965154971,0.1020984897773528,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4475,0.9349800873398573,0.10107730200670377,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.45,0.9358817949095272,0.10038191414765082,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4525,0.9365791953727022,0.09954317013366334,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.455,0.9371327279383042,0.09893289784360182,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4575,0.9378983430705422,0.09830281707018644,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.46,0.9387674203650762,0.09733335007297847,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4625,0.9395929747044063,0.09619035638262996,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.465,0.9403028118793356,0.09505740244544214,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4675,0.9412334361893215,0.09362093474118109,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.47000000000000003,0.9418221143214606,0.09278321166060262,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.47250000000000003,0.9423705778071348,0.09195434034609716,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.47500000000000003,0.9427105320585003,0.09147438296973272,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.47750000000000004,0.9431086847628041,0.09117116275027229,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.48,0.9437485550850606,0.09009850950572908,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4825,0.9442566137824083,0.08932309650253276,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.485,0.9449071711797044,0.08842570763757801,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4875,0.9455123632623876,0.08757359271916587,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.49,0.9459689714731446,0.08684983707554629,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4925,0.9463023261644751,0.08635338080155029,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.495,0.9466259174652701,0.08594129540871778,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.4975,0.9471905193707748,0.08504801759644454,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5,0.9477408346333853,0.0842163866453187,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5025000000000001,0.9483053655003344,0.08322967009244736,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.505,0.9488351849788277,0.08230829239815932,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5075000000000001,0.9494934544703217,0.08117704312860531,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.51,0.9500941284079935,0.08015031657896014,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5125,0.950679317797712,0.079173572431825,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.515,0.9511610601924078,0.07824009958715596,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5175,0.951710031526261,0.07713872507761009,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.52,0.9522998959958399,0.07611559866939194,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5225,0.9529067363587401,0.07512626613695164,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.525,0.9536019217554417,0.07386086211222928,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5275,0.9544568136654038,0.07233418838828193,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.53,0.9553803627145085,0.07061808947252843,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5325,0.9559709292121684,0.06971303179651485,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.535,0.9564783833853354,0.06875550237883926,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5375,0.9571208804602184,0.0677831028392451,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.54,0.9576233619344774,0.06678690877944607,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5425,0.9582824980499219,0.06577229831197098,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.545,0.9589901716068643,0.06489209144144388,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5475,0.9597273108424338,0.06381233832250638,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.55,0.9604425086687262,0.06235657721502334,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5525,0.9611269509387094,0.06099277781533099,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.555,0.9616341961208094,0.059961322161471334,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5575,0.9622065284063932,0.05874886703575982,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.56,0.9627296797247384,0.05778352471363129,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5625,0.9632795016099063,0.05681859607032438,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5650000000000001,0.963979961111488,0.055812884597575316,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5675,0.9645461468102993,0.05485871119377496,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5700000000000001,0.9650203030097488,0.05409568201581349,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5725,0.9657152762918817,0.05294824850338515,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5750000000000001,0.9662808358974676,0.05197723731504851,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5775,0.96700053941881,0.05072591708971035,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.58,0.967861831603699,0.04901716128656785,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5825,0.9681566196284215,0.0485168350897621,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.585,0.9684430674726989,0.04805039127529603,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5875,0.9688102330343215,0.047354526710739,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.59,0.9695093018720748,0.046218055249159756,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5925,0.9700592189937598,0.04532649842182077,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.595,0.9706134847893916,0.04444641274922329,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.5975,0.9710859756890275,0.043706404932437326,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.6,0.9716549661986479,0.04284123664414239,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.6025,0.9719626560062402,0.04221815845484571,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.605,0.9724131639551297,0.041451792300343134,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.6075,0.9731415042380916,0.04027782229739145,0.8488418602164647,0.08059686460465387,8,40
