dataset,attack,attack_label,fpr,mean_tpr,std_tpr_across_models,mean_auc,std_auc_across_models,n_models,n_seed_curves
locations,rmia,RMIA,0.0,0.0,0.0,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0025,0.1101444636356883,0.10997938622101731,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.005,0.16582816934105934,0.16670616639727415,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0075,0.18990167845999553,0.17005025531712548,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.01,0.20907198945100663,0.17545276822574962,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0125,0.2251542418839611,0.17939788864126954,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.015,0.238605183493054,0.1821595663524382,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0175,0.25177898280216926,0.1872701223154465,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.02,0.2634912265062031,0.19317524212956969,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0225,0.27360970070945695,0.19894281422149712,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.025,0.28343862361637323,0.2012522464932455,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0275,0.2922803990990808,0.20219821993276937,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.03,0.30197509640645365,0.20302765293702815,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0325,0.3115005459796314,0.2038686648319093,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.035,0.3182890240577156,0.2036666300913773,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0375,0.32629715611514076,0.20280276339944037,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.04,0.3342276745615279,0.20224414163775156,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0425,0.34226408827944027,0.20128056857324425,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.045,0.34940254248806324,0.2006102401517478,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0475,0.355797222320711,0.20025624162710057,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.05,0.3619656530200602,0.20025082435487704,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0525,0.370124726792102,0.19923944348417189,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.055,0.37785092087016814,0.19923226793705084,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0575,0.38423471386474506,0.20009295616165743,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.06,0.3910068184632147,0.20127221837113585,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0625,0.39728062396305375,0.20102237936860357,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.065,0.40335723324171063,0.20052585671563453,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0675,0.41003145940123314,0.200042907891095,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.07,0.41622725466161503,0.19919587492229796,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0725,0.42164730982096427,0.19896857299936496,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.075,0.42709387304063584,0.1991330459800958,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0775,0.43276638320889976,0.2003259394522616,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.08,0.4382909850679742,0.20067612419306838,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0825,0.44393682118713323,0.20051269007882283,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.085,0.45020008914642307,0.2005781247964128,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.08750000000000001,0.45689286410742147,0.19959976770677895,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.09,0.463778100624025,0.1990315685994723,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0925,0.4700583999609984,0.19925101608622525,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.095,0.47719195592823715,0.1994516938448576,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.0975,0.48474662071601915,0.1996085700045859,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1,0.4914916208553104,0.1996792011388564,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.10250000000000001,0.496678060152168,0.19949122061257332,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.105,0.502072199007008,0.19951760747732203,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1075,0.5077411546938068,0.19947381992488508,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.11,0.5136317064111136,0.1991692148984679,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.1125,0.5193258766064929,0.19883891734526757,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.115,0.52490715121462,0.19833946274347752,0.8488418602164647,0.08059686460465387,8,40
locations,rmia,RMIA,0.11750000000000001,0.5304364036509513,0.1977490176033191,0.8488418602164647,0.08059686460465387,8,40
