dataset,model,seed,attack,runtime_s,runtime_source,auc,auc_metric,attack_label
46980_MIC,real-tabpfn,1,rmia,79.35726,ml_privacy_meter/logs/46980_MIC/real-tabpfn/seed1/rmia/report/log_time_analysis.log,0.6628061225830009,auc,RMIA
46980_MIC,real-tabpfn,2,rmia,75.00811,ml_privacy_meter/logs/46980_MIC/real-tabpfn/seed2/rmia/report/log_time_analysis.log,0.7013178736448913,auc,RMIA
46980_MIC,real-tabpfn,3,rmia,73.79229,ml_privacy_meter/logs/46980_MIC/real-tabpfn/seed3/rmia/report/log_time_analysis.log,0.6623543102112223,auc,RMIA
46980_MIC,real-tabpfn,4,rmia,80.04934,ml_privacy_meter/logs/46980_MIC/real-tabpfn/seed4/rmia/report/log_time_analysis.log,0.6479396567802064,auc,RMIA
46980_MIC,real-tabpfn,5,rmia,79.21003,ml_privacy_meter/logs/46980_MIC/real-tabpfn/seed5/rmia/report/log_time_analysis.log,0.6630911321314774,auc,RMIA
46980_MIC,tabdpt,1,rmia,45.46015,ml_privacy_meter/logs/46980_MIC/tabdpt/seed1/rmia/report/log_time_analysis.log,0.8885113570394731,auc,RMIA
46980_MIC,tabdpt,2,rmia,24.04848,ml_privacy_meter/logs/46980_MIC/tabdpt/seed2/rmia/report/log_time_analysis.log,0.9193462380053008,auc,RMIA
46980_MIC,tabdpt,3,rmia,24.45795,ml_privacy_meter/logs/46980_MIC/tabdpt/seed3/rmia/report/log_time_analysis.log,0.8749609261102895,auc,RMIA
46980_MIC,tabdpt,4,rmia,24.73647,ml_privacy_meter/logs/46980_MIC/tabdpt/seed4/rmia/report/log_time_analysis.log,0.9368079981297068,auc,RMIA
46980_MIC,tabdpt,5,rmia,56.68089,ml_privacy_meter/logs/46980_MIC/tabdpt/seed5/rmia/report/log_time_analysis.log,0.93429413510766,auc,RMIA
46980_MIC,tabicl,1,rmia,79.1449,ml_privacy_meter/logs/46980_MIC/tabicl/seed1/rmia/report/log_time_analysis.log,0.8834140203683323,auc,RMIA
46980_MIC,tabicl,2,rmia,77.745,ml_privacy_meter/logs/46980_MIC/tabicl/seed2/rmia/report/log_time_analysis.log,0.857336303386754,auc,RMIA
46980_MIC,tabicl,3,rmia,77.10974,ml_privacy_meter/logs/46980_MIC/tabicl/seed3/rmia/report/log_time_analysis.log,0.7858041603513629,auc,RMIA
46980_MIC,tabicl,4,rmia,77.20206,ml_privacy_meter/logs/46980_MIC/tabicl/seed4/rmia/report/log_time_analysis.log,0.8703613710929393,auc,RMIA
46980_MIC,tabicl,5,rmia,76.21039,ml_privacy_meter/logs/46980_MIC/tabicl/seed5/rmia/report/log_time_analysis.log,0.8978404944718655,auc,RMIA
46980_MIC,tabpfn,1,rmia,81.54193,ml_privacy_meter/logs/46980_MIC/tabpfn/seed1/rmia/report/log_time_analysis.log,0.6626997365303436,auc,RMIA
46980_MIC,tabpfn,2,rmia,78.9426,ml_privacy_meter/logs/46980_MIC/tabpfn/seed2/rmia/report/log_time_analysis.log,0.6894315307245547,auc,RMIA
46980_MIC,tabpfn,3,rmia,79.22813,ml_privacy_meter/logs/46980_MIC/tabpfn/seed3/rmia/report/log_time_analysis.log,0.659468752708904,auc,RMIA
46980_MIC,tabpfn,4,rmia,80.18133,ml_privacy_meter/logs/46980_MIC/tabpfn/seed4/rmia/report/log_time_analysis.log,0.6527270291497784,auc,RMIA
46980_MIC,tabpfn,5,rmia,79.79019,ml_privacy_meter/logs/46980_MIC/tabpfn/seed5/rmia/report/log_time_analysis.log,0.6657429029995613,auc,RMIA
credit_rating,real-tabpfn,1,rmia,51.56215,ml_privacy_meter/logs/credit_rating/real-tabpfn/seed1/rmia/report/log_time_analysis.log,0.9365118611245592,auc,RMIA
credit_rating,real-tabpfn,2,rmia,49.97124,ml_privacy_meter/logs/credit_rating/real-tabpfn/seed2/rmia/report/log_time_analysis.log,0.9439406252161284,auc,RMIA
credit_rating,real-tabpfn,3,rmia,50.12921,ml_privacy_meter/logs/credit_rating/real-tabpfn/seed3/rmia/report/log_time_analysis.log,0.9054836088249532,auc,RMIA
credit_rating,real-tabpfn,4,rmia,49.96576,ml_privacy_meter/logs/credit_rating/real-tabpfn/seed4/rmia/report/log_time_analysis.log,0.9241856283283768,auc,RMIA
credit_rating,real-tabpfn,5,rmia,50.04978,ml_privacy_meter/logs/credit_rating/real-tabpfn/seed5/rmia/report/log_time_analysis.log,0.938168268898264,auc,RMIA
credit_rating,tabdpt,1,rmia,47.89514,ml_privacy_meter/logs/credit_rating/tabdpt/seed1/rmia/report/log_time_analysis.log,0.9794219863061068,auc,RMIA
credit_rating,tabdpt,2,rmia,25.96807,ml_privacy_meter/logs/credit_rating/tabdpt/seed2/rmia/report/log_time_analysis.log,0.9787390206791616,auc,RMIA
credit_rating,tabdpt,3,rmia,25.74706,ml_privacy_meter/logs/credit_rating/tabdpt/seed3/rmia/report/log_time_analysis.log,0.976139428729511,auc,RMIA
credit_rating,tabdpt,4,rmia,25.96881,ml_privacy_meter/logs/credit_rating/tabdpt/seed4/rmia/report/log_time_analysis.log,0.9844491320284944,auc,RMIA
credit_rating,tabdpt,5,rmia,25.96807,ml_privacy_meter/logs/credit_rating/tabdpt/seed5/rmia/report/log_time_analysis.log,0.97916349678401,auc,RMIA
credit_rating,tabicl,1,rmia,55.28948,ml_privacy_meter/logs/credit_rating/tabicl/seed1/rmia/report/log_time_analysis.log,0.9818901722110795,auc,RMIA
credit_rating,tabicl,2,rmia,54.3118,ml_privacy_meter/logs/credit_rating/tabicl/seed2/rmia/report/log_time_analysis.log,0.9855522511930286,auc,RMIA
credit_rating,tabicl,3,rmia,54.0423,ml_privacy_meter/logs/credit_rating/tabicl/seed3/rmia/report/log_time_analysis.log,0.9778961200636282,auc,RMIA
credit_rating,tabicl,4,rmia,53.89618,ml_privacy_meter/logs/credit_rating/tabicl/seed4/rmia/report/log_time_analysis.log,0.9891503561795422,auc,RMIA
credit_rating,tabicl,5,rmia,54.76075,ml_privacy_meter/logs/credit_rating/tabicl/seed5/rmia/report/log_time_analysis.log,0.9790070198492288,auc,RMIA
credit_rating,tabpfn,1,rmia,51.7095,ml_privacy_meter/logs/credit_rating/tabpfn/seed1/rmia/report/log_time_analysis.log,0.9376703091500104,auc,RMIA
credit_rating,tabpfn,2,rmia,49.80983,ml_privacy_meter/logs/credit_rating/tabpfn/seed2/rmia/report/log_time_analysis.log,0.9394823293450446,auc,RMIA
credit_rating,tabpfn,3,rmia,50.02471,ml_privacy_meter/logs/credit_rating/tabpfn/seed3/rmia/report/log_time_analysis.log,0.9084540770454388,auc,RMIA
credit_rating,tabpfn,4,rmia,50.1451,ml_privacy_meter/logs/credit_rating/tabpfn/seed4/rmia/report/log_time_analysis.log,0.920664465039076,auc,RMIA
credit_rating,tabpfn,5,rmia,50.19416,ml_privacy_meter/logs/credit_rating/tabpfn/seed5/rmia/report/log_time_analysis.log,0.9384665260391452,auc,RMIA
dropout_success,real-tabpfn,1,rmia,61.10261,ml_privacy_meter/logs/dropout_success/real-tabpfn/seed1/rmia/report/log_time_analysis.log,0.7240915807651906,auc,RMIA
dropout_success,real-tabpfn,2,rmia,59.44909,ml_privacy_meter/logs/dropout_success/real-tabpfn/seed2/rmia/report/log_time_analysis.log,0.7005898016953938,auc,RMIA
dropout_success,real-tabpfn,3,rmia,59.94402,ml_privacy_meter/logs/dropout_success/real-tabpfn/seed3/rmia/report/log_time_analysis.log,0.7265201118635779,auc,RMIA
dropout_success,real-tabpfn,4,rmia,59.74821,ml_privacy_meter/logs/dropout_success/real-tabpfn/seed4/rmia/report/log_time_analysis.log,0.7039853488797111,auc,RMIA
dropout_success,real-tabpfn,5,rmia,59.8704,ml_privacy_meter/logs/dropout_success/real-tabpfn/seed5/rmia/report/log_time_analysis.log,0.6934070322034704,auc,RMIA
dropout_success,tabdpt,1,rmia,50.57662,ml_privacy_meter/logs/dropout_success/tabdpt/seed1/rmia/report/log_time_analysis.log,0.9727229886773916,auc,RMIA
dropout_success,tabdpt,2,rmia,49.54327,ml_privacy_meter/logs/dropout_success/tabdpt/seed2/rmia/report/log_time_analysis.log,0.9764637041057944,auc,RMIA
dropout_success,tabdpt,3,rmia,49.17721,ml_privacy_meter/logs/dropout_success/tabdpt/seed3/rmia/report/log_time_analysis.log,0.9753195622103994,auc,RMIA
