dataset,model,attack,attack_auc,tpr_at_fpr_01,tpr_at_fpr_0,tnr_at_fnr_01,tnr_at_fnr_0
46980_MIC,lightgbm,lira,0.5662200000000001,0.0,0.0,0.0,0.0
46980_MIC,lightgbm,lira_online,0.59582,0.04862236628849271,0.04862236628849271,0.0573743922204214,0.0573743922204214
46980_MIC,lightgbm,rmia,0.63925461465921,0.0204213938411669,0.0204213938411669,0.0972447325769854,0.0972447325769854
46980_MIC,lightgbm,rmia_online,0.65726,0.06839546191247974,0.06839546191247974,0.10923824959481361,0.10923824959481361
46980_MIC,mlp,lira,0.59888,0.0,0.0,0.0,0.0
46980_MIC,mlp,lira_online,0.73272,0.08200972447325769,0.08200972447325769,0.2842787682333874,0.2842787682333874
46980_MIC,mlp,rmia,0.7229877931855138,0.0479740680713128,0.0479740680713128,0.3390599675850891,0.3390599675850891
46980_MIC,mlp,rmia_online,0.7264,0.06126418152350081,0.06126418152350081,0.3419773095623987,0.3419773095623987
46980_MIC,real-tabpfn,lira,0.6008,0.0,0.0,0.0,0.0
46980_MIC,real-tabpfn,lira_online,0.61324,0.019124797406807132,0.019124797406807132,0.036304700162074564,0.036304700162074564
46980_MIC,real-tabpfn,rmia,0.6675018190701596,0.0,0.0,0.0508914100486223,0.0508914100486223
46980_MIC,real-tabpfn,rmia_online,0.7039799999999999,0.04278768233387358,0.04278768233387358,0.05964343598055104,0.05964343598055104
46980_MIC,rf,lira,0.5648799999999999,0.0,0.0,0.0,0.0
46980_MIC,rf,lira_online,0.57024,0.004213938411669367,0.004213938411669367,0.013290113452188002,0.013290113452188002
46980_MIC,rf,rmia,0.6201784133505301,0.0149108589951377,0.0149108589951377,0.0453808752025931,0.0453808752025931
46980_MIC,rf,rmia_online,0.6517999999999999,0.04959481361426256,0.04959481361426256,0.05445705024311183,0.05445705024311183
46980_MIC,tabdpt,lira,0.73518,0.0,0.0,0.0,0.0
46980_MIC,tabdpt,lira_online,0.9420400000000001,0.2479740680713128,0.2479740680713128,0.6846029173419773,0.6846029173419773
46980_MIC,tabdpt,rmia,0.910784130878486,0.0739059967585089,0.0739059967585089,0.6586709886547812,0.6586709886547812
46980_MIC,tabdpt,rmia_online,0.91006,0.12414910858995139,0.12414910858995139,0.6719611021069692,0.6719611021069692
46980_MIC,tabicl,lira,0.71912,0.0,0.0,0.0,0.0
46980_MIC,tabicl,lira_online,0.87988,0.13808752025931928,0.13808752025931928,0.2239870340356564,0.2239870340356564
46980_MIC,tabicl,rmia,0.8589512699342509,0.0077795786061588,0.0077795786061588,0.0706645056726094,0.0706645056726094
46980_MIC,tabicl,rmia_online,0.8965799999999999,0.0927066450567261,0.0927066450567261,0.13160453808752026,0.13160453808752026
46980_MIC,tabnet,lira,0.5382399999999999,0.0,0.0,0.0,0.0
46980_MIC,tabnet,lira_online,0.5578000000000001,0.003889789303079416,0.003889789303079416,0.009076175040518653,0.009076175040518653
46980_MIC,tabnet,rmia,0.5896939496544423,0.0,0.0,0.053160453808752,0.053160453808752
46980_MIC,tabnet,rmia_online,0.5884199999999999,0.012641815235008102,0.012641815235008102,0.048946515397082654,0.048946515397082654
46980_MIC,tabpfn,lira,0.60128,0.0,0.0,0.0,0.0
46980_MIC,tabpfn,lira_online,0.6159800000000001,0.020745542949756886,0.020745542949756886,0.03144246353322529,0.03144246353322529
