dataset,model,seed,context_pct,attack,auc,source
locations,real-tabpfn,4,60.0,AMIA row_max,0.9480654761904762,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx60/report/exp/attention_summary.csv
locations,real-tabpfn,5,60.0,AMIA row_max,0.9322510822510822,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx60/report/exp/attention_summary.csv
locations,real-tabpfn,1,70.0,AMIA row_max,0.9357294854688221,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx70/report/exp/attention_summary.csv
locations,real-tabpfn,2,70.0,AMIA row_max,0.9356451604902754,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx70/report/exp/attention_summary.csv
locations,real-tabpfn,3,70.0,AMIA row_max,0.9337205668622676,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx70/report/exp/attention_summary.csv
locations,real-tabpfn,4,70.0,AMIA row_max,0.9542611395776808,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx70/report/exp/attention_summary.csv
locations,real-tabpfn,5,70.0,AMIA row_max,0.9446728934876314,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx70/report/exp/attention_summary.csv
locations,real-tabpfn,1,80.0,AMIA row_max,0.9294255782405982,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx80/report/exp/attention_summary.csv
locations,real-tabpfn,2,80.0,AMIA row_max,0.9328074355262208,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx80/report/exp/attention_summary.csv
locations,real-tabpfn,3,80.0,AMIA row_max,0.9270050803856076,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx80/report/exp/attention_summary.csv
locations,real-tabpfn,4,80.0,AMIA row_max,0.9523500108295431,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx80/report/exp/attention_summary.csv
locations,real-tabpfn,5,80.0,AMIA row_max,0.9256713366695926,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx80/report/exp/attention_summary.csv
