dataset,model,attack,attack_label,fpr,mean_tpr,std_tpr_across_seeds,mean_auc,std_auc_across_seeds,n_seeds
locations,tabpfn,rmia,RMIA,0.0,0.0,0.0,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0025,0.06862870514820593,0.021543713470699475,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.005,0.10444513780551223,0.014336269514383486,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0075,0.13517602704108164,0.011837207628768056,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.01,0.15544721788871554,0.017321634307453322,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0125,0.1732921216848674,0.019560020023481936,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.015,0.1884505460218409,0.02181951324542405,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0175,0.2030446177847114,0.025008404320394768,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.02,0.21655912636505464,0.026671378944904324,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0225,0.22854264170566824,0.03282691856224725,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.025,0.24302392095683828,0.03534063093688715,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0275,0.25328315132605306,0.04066727158150775,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.03,0.2655163806552262,0.04898551302995218,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0325,0.2794633385335414,0.05610479005150938,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.035,0.2893646385855434,0.054432834639385974,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0375,0.2967626105044202,0.05312018446544596,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.04,0.3062770670826833,0.05416596162782383,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0425,0.3166436557462299,0.05765273231975547,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.045,0.32682579303172127,0.059100003829566,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0475,0.3381563962558502,0.06452562446733734,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.05,0.3465522620904837,0.065778565562439,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0525,0.35853354134165366,0.0657461922399117,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.055,0.3698384468712082,0.063916051352229,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0575,0.38165266944011095,0.06161229423022671,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.06,0.3896728722482233,0.06172277556884062,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0625,0.39713446871208186,0.06206214310500695,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.065,0.4024811405789565,0.06235557332445402,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0675,0.40946840873634943,0.05994671187749518,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.07,0.4128850754030161,0.06088750218649261,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0725,0.42143382735309415,0.06693745680125845,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.075,0.4308073322932917,0.07074446310572413,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0775,0.43703042121684865,0.06964138952289001,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.08,0.4467780254067305,0.06990427070965251,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0825,0.452814046133274,0.07138136967864625,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.085,0.4603695676398485,0.07370849190318662,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.08750000000000001,0.46769419991085365,0.07647524190959683,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.09,0.47738237129485184,0.07992065715858719,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.0925,0.4830894955798232,0.08210450261108707,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.095,0.4917186687467499,0.08404598532940186,0.8363312289500925,0.02298074553300779,5
