dataset,model,attack,attack_label,fpr,mean_tpr,std_tpr_across_seeds,mean_auc,std_auc_across_seeds,n_seeds
locations,tabpfn,rmia,RMIA,0.0975,0.49963754550182016,0.08215718877022658,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1,0.5050026001040042,0.08301452838345562,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.10250000000000001,0.5095734789391575,0.08466454274963671,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.105,0.5154488299531981,0.08425190595222067,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1075,0.5232556682267291,0.08358346585682766,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.11,0.5311185647425897,0.08307317214302427,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1125,0.5381402756110244,0.08352097420574593,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.115,0.5431411856474259,0.08384418953857085,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.11750000000000001,0.5484981799271971,0.0844265025284999,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.12,0.5552698907956317,0.08538806358829362,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1225,0.5627792511700468,0.08605306308018924,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.125,0.5694422776911077,0.08478154470505446,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1275,0.5775799531981279,0.08392130208331795,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.13,0.5815798231929278,0.08296648612253059,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1325,0.5887640405616226,0.08284467781647603,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.135,0.6021912636505462,0.07602911933522004,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1375,0.609574536314786,0.07265316461202205,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.14,0.6137600277344427,0.07203828700466332,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.14250000000000002,0.6176773704281505,0.07135442769765749,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.145,0.6208982319292772,0.07022722551844342,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1475,0.624644829507466,0.07009894288104081,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.15,0.6285942351979793,0.07029152572271147,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1525,0.6326769828888394,0.07058705316226267,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.155,0.6376341282222718,0.06970607083274867,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1575,0.6428162809845728,0.06892907071510776,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.16,0.6463673080256543,0.06719911397805746,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1625,0.6505467802045415,0.06614160061038098,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.165,0.6556266684000693,0.06566365073063887,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1675,0.6592351144045762,0.06430727058946661,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.17,0.6624576183047324,0.06264242245188745,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.17250000000000001,0.6683926157046282,0.06141411734053486,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.17500000000000002,0.6723036921476859,0.06022553769064932,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1775,0.6761250650026002,0.0579740134832717,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.18,0.6810379615184607,0.055639627662773646,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1825,0.6868655226209048,0.055046475826590474,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.185,0.6910593863754549,0.054122876114433685,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1875,0.6948322932917318,0.051655883749160116,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.19,0.69936245449818,0.05106679348903031,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1925,0.7049620384815393,0.04488654643307246,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.195,0.7104745709828393,0.042605048243489665,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.1975,0.7151889235569423,0.04122785369891757,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2,0.718978679147166,0.03994533639701863,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2025,0.7221120644825794,0.03835815033227746,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.20500000000000002,0.7254381546690439,0.03553021633465602,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.20750000000000002,0.728638956986851,0.031632276884773304,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.21,0.7343274348116781,0.028440478366258955,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2125,0.7368627145085803,0.026721822262119617,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.215,0.73938127925117,0.027030658043395318,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2175,0.7410569422776911,0.027165623618790217,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.22,0.7422400416016641,0.027599642932181794,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2225,0.7441096203848154,0.02840350350317748,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.225,0.7465343213728549,0.028066346107577893,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2275,0.7498527301092043,0.02472835987504352,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.23,0.7526219968798753,0.02272282984172261,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2325,0.7549870124804994,0.022897375777196194,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.23500000000000001,0.758155616224649,0.023441398909907867,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.23750000000000002,0.7600120904836194,0.02313606035585948,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.24,0.7616661466458658,0.022767889270679974,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2425,0.7630173950235319,0.022629486884635005,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.245,0.7649806939000249,0.023394031596020125,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2475,0.7675870504988266,0.024652427532648083,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.25,0.7701402089697034,0.02573737523631514,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2525,0.7730656373313758,0.02683322827454871,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.255,0.7770250527668167,0.028367949596814934,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2575,0.7793233917591997,0.02957207444129117,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.26,0.7817714967422227,0.029498305915165182,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2625,0.7834894925208774,0.030158941575024505,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.265,0.7873972958918357,0.029679150963105173,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2675,0.7904622495488056,0.029790883437539432,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.27,0.7932942277691108,0.0297525129499995,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2725,0.7957602184087363,0.029379828839393368,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.275,0.7972776911076442,0.029627876513189988,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2775,0.7995276911076443,0.028802084664910722,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.28,0.8021435257410298,0.02901803212755493,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.28250000000000003,0.8054204368174727,0.029203814032720713,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.28500000000000003,0.807263130525221,0.027068449426814765,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.28750000000000003,0.8083372334893395,0.02698463985859344,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.29,0.8098356734269372,0.027354400224675224,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2925,0.8113879355174207,0.027649400697710134,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.295,0.8142581194156857,0.028212686235770876,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.2975,0.8166709686569282,0.02857350279973407,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3,0.8193022266345199,0.028939476416265708,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3025,0.8213900628752423,0.02936743072324831,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.305,0.8239791991679667,0.02994895785263677,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3075,0.8259554909469106,0.030647051594923803,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.31,0.8278448257930316,0.030863726187389327,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3125,0.830127405096204,0.031097473313847174,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.315,0.8318244409776391,0.031450240504847606,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3175,0.8330046801872075,0.03162101632881321,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.32,0.8345460218408738,0.03196344695192661,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3225,0.8359437077483101,0.03244185232902316,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.325,0.8371866874674987,0.03347656574147381,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3275,0.8393704591040784,0.03425052454590331,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.33,0.8405284897110171,0.03338321881037538,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3325,0.8414290357328579,0.03270658131788115,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.335,0.842334373374935,0.032858066913081733,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3375,0.8434685387415495,0.03311317255294862,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.34,0.8442802763539113,0.03358940393290339,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3425,0.8452099286828616,0.0337578553739277,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.34500000000000003,0.847208112324493,0.03344695123570634,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.34750000000000003,0.8503312532501301,0.03446736504856762,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.35000000000000003,0.8532423296931878,0.03520559496628708,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3525,0.8545258710348413,0.03493474768737395,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.355,0.8565418616744669,0.03432447072917799,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3575,0.8586502860114404,0.03305256534047081,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.36,0.8603307332293291,0.03160911299792108,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3625,0.8613806552262091,0.031041834430281825,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.365,0.8621580863234529,0.031213805541997416,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3675,0.8634789391575662,0.030226049518979125,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.37,0.8653242701136616,0.029234135657890133,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3725,0.8673508654631901,0.0289617251304615,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.375,0.8692630562365352,0.028773066924364522,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3775,0.8709084763390535,0.028248334141357644,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.38,0.8731030384072506,0.02767777291789246,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3825,0.8749552782111284,0.027228481705432156,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.385,0.8755423816952679,0.026791402366408763,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3875,0.8761986479459178,0.02670116196578913,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.39,0.8770379615184607,0.026476656169466206,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3925,0.8782254290171607,0.02605493458467838,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.395,0.8791390535621426,0.0262259776060941,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.3975,0.8818365574622984,0.026860159972144262,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4,0.8836848673946959,0.027646736439802727,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4025,0.8852480387786941,0.028096634724721667,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.405,0.8865000891464231,0.028455821246355793,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.40750000000000003,0.8873374749275685,0.02851295100816148,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.41000000000000003,0.888019166480945,0.028661960872389834,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.41250000000000003,0.888541341653666,0.028790897748024243,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.41500000000000004,0.8890289725874749,0.02866291403509326,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4175,0.8894609891538519,0.028175054880228947,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.42,0.8901664066562663,0.02769437113184243,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4225,0.8917748402793254,0.02670552262269031,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.425,0.8933895141519945,0.025510832942683803,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4275,0.8950805939380432,0.023922851298867894,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.43,0.8973474481836418,0.02559573981036005,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4325,0.8993052150657455,0.025813754121996418,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.435,0.9009519295057518,0.025582081789720587,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4375,0.9028591143645744,0.02469548615662654,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.44,0.903709988399536,0.025006305762221778,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4425,0.904266920676827,0.02519842047496466,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.445,0.9044538581543261,0.025040745776127766,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4475,0.904838793551742,0.025102770948751997,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.45,0.9054286171446858,0.02535279560346692,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4525,0.9061197667906715,0.0255477726923852,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.455,0.9065014040561623,0.025441273470499286,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4575,0.9073415756630265,0.02520672204288385,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.46,0.908041809672387,0.02465770769292656,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4625,0.9088018720748829,0.02417609822148403,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.465,0.9092719708788352,0.024056042807779825,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4675,0.9098690847633906,0.0238885278970607,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.47000000000000003,0.9106619864794592,0.024085431554383235,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.47250000000000003,0.9110352314092565,0.024102101011278968,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.47500000000000003,0.9113273530941237,0.024144562667602353,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.47750000000000004,0.9119658086323454,0.0241125843207866,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.48,0.9127122204888195,0.024039136032540924,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4825,0.9136803952158086,0.023949324258617476,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.485,0.9155476859074362,0.023705634975079548,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4875,0.9171235049401976,0.023498614528718174,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.49,0.9177786271450857,0.023079616438550398,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4925,0.9183317082683308,0.02296370529302831,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.495,0.9189141185647426,0.022621982424303935,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.4975,0.9196341263650547,0.022466618942547676,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5,0.920241809672387,0.02230517598841208,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5025000000000001,0.9205547971918877,0.022529755162432295,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.505,0.9212343993759751,0.022569113760827913,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5075000000000001,0.9221342303692148,0.022182202997070157,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.51,0.9227116484659387,0.021710113932166,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5125,0.9233135075403016,0.02108501570986611,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.515,0.9236167446697868,0.021115572205312766,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5175,0.9240156006240248,0.020795677971338102,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.52,0.9250171606864275,0.021015070154421927,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5225,0.9260709828393136,0.021020790980051794,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.525,0.9271177847113885,0.021068964386997874,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5275,0.9283365834633385,0.020830504574947575,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.53,0.92901872074883,0.02068163582815614,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5325,0.9303124024960999,0.01942790049598783,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.535,0.9309578783151325,0.018868596944908604,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5375,0.9319988299531982,0.018478054645551214,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.54,0.9325865834633384,0.018484594753057644,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5425,0.9340042121684867,0.01861814859166886,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.545,0.9361120124804992,0.01926217451984197,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5475,0.9374998439937599,0.018926436869377963,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.55,0.9383005720228809,0.01888009637371572,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5525,0.9386116484659386,0.01884801329045803,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.555,0.9389466458658348,0.018747398686051745,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5575,0.9393277691107645,0.01852995117937343,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.56,0.9398127925117004,0.018373190780891557,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5625,0.9402886115444617,0.018407538169314657,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5650000000000001,0.9423369734789393,0.018137315280992067,0.8363312289500925,0.02298074553300779,5
locations,tabpfn,rmia,RMIA,0.5675,0.9434512835058857,0.018736310852200597,0.8363312289500925,0.02298074553300779,5
