model,attack,mean_runtime_s,std_runtime_s,median_runtime_s,mean_auc,std_auc,n_runs,n_auc_runs,n_datasets,attack_label
tabdpt,amia,58.32424242424242,106.17089659688916,12.039090909090909,0.9683579397107948,0.038547606422000356,130,130,6,AMIA
tabdpt,rmia,2368.2482253333333,5696.433450529066,48.642063,0.9012071083943419,0.08102244114005715,30,30,6,RMIA
tabicl,amia,198.12151515151515,407.93503933742767,21.549999999999997,0.9195521153963099,0.12259030436404346,130,130,6,AMIA
tabicl,rmia,88.086071,28.774569038655248,89.832843,0.8863719467156724,0.051232437404429364,30,30,6,RMIA
real-tabpfn,amia,304.8778787878788,429.1158178385279,47.81818181818181,0.8753478161506689,0.04252167135294079,130,130,6,AMIA
real-tabpfn,rmia,121.89764366666668,67.46641547326978,115.689893,0.7610342408829639,0.09637683241419243,30,30,6,RMIA
tabpfn,amia,307.03191919191926,433.03089323515843,47.49666666666667,0.8500259344606257,0.0653944863649294,129,129,6,AMIA
tabpfn,rmia,122.371191,67.06544597539202,116.981608,0.7550931085851706,0.10620813987655714,30,30,6,RMIA
