dataset,model,layer,mean_auc,std_auc,n_seeds,calls_per_layer,n_heads
dropout_success,tabdpt,0,0.9216487706015484,0.00481800102784751,5,1,8
dropout_success,tabdpt,1,0.7337790727036956,0.006407954686647673,5,1,8
dropout_success,tabdpt,2,0.8424798194661083,0.002386886889012521,5,1,8
dropout_success,tabdpt,3,0.5467768007699795,0.00794346269619435,5,1,8
dropout_success,tabdpt,4,0.7774272321757844,0.011054307434658732,5,1,8
dropout_success,tabdpt,5,0.8446275652813068,0.006774236055010589,5,1,8
dropout_success,tabdpt,6,0.9923531063870294,0.0014164858700992365,5,1,8
dropout_success,tabdpt,7,0.998902364983808,0.0005091085016304354,5,1,8
dropout_success,tabdpt,8,0.9999736945464507,5.2973195437935274e-05,5,1,8
dropout_success,tabdpt,9,0.7835510254948532,0.01164801159034212,5,1,8
dropout_success,tabdpt,10,0.9943456354928875,0.0014476620751736058,5,1,8
dropout_success,tabdpt,11,0.6358173456852698,0.024410648370717714,5,1,8
dropout_success,tabdpt,12,0.8730256103937062,0.05685633740680579,5,1,8
dropout_success,tabdpt,13,0.8666922454502284,0.03426689093050861,5,1,8
dropout_success,tabdpt,14,0.9680312439027846,0.01287239662469454,5,1,8
dropout_success,tabdpt,15,0.5328839606130333,0.033619156118769956,5,1,8
locations,tabdpt,0,0.9990396625210802,0.0003539865779570145,5,1,8
locations,tabdpt,1,0.8898469583643159,0.02565781222409189,5,1,8
locations,tabdpt,2,0.9989891184432423,0.00033331821986044304,5,1,8
locations,tabdpt,3,0.842894426057416,0.026191866977372788,5,1,8
locations,tabdpt,4,0.9733448029509966,0.010569378221441094,5,1,8
locations,tabdpt,5,0.957463756494185,0.015408962084940492,5,1,8
locations,tabdpt,6,0.9997613736325153,0.0002731317720456315,5,1,8
locations,tabdpt,7,0.999901827848815,9.532307226671385e-05,5,1,8
locations,tabdpt,8,0.9999066878562992,0.0002086522964409867,5,1,8
locations,tabdpt,9,0.9920150077031119,0.002272770042157241,5,1,8
locations,tabdpt,10,0.9999985419977546,2.17346142122304e-06,5,1,8
locations,tabdpt,11,0.8979238048026594,0.07370579624605372,5,1,8
locations,tabdpt,12,0.9874315346445635,0.008087372700015983,5,1,8
locations,tabdpt,13,0.932637866262314,0.009060006706091183,5,1,8
locations,tabdpt,14,0.9630945611656243,0.02642265865826598,5,1,8
locations,tabdpt,15,0.07658010993336929,0.05389049986606534,5,1,8
