dataset,model,layer,mean_auc,std_auc,n_seeds,calls_per_layer,n_heads
dropout_success,tabpfn,0,0.6932212226876544,0.007049682065376249,5,8,3
dropout_success,tabpfn,1,0.9036706644416033,0.0026751570064909506,5,8,3
dropout_success,tabpfn,2,0.828433433940793,0.06098608992255371,5,8,3
dropout_success,tabpfn,3,0.6759200096211107,0.013084621157020856,5,8,3
dropout_success,tabpfn,4,0.8906977884888935,0.005244928199220502,5,8,3
dropout_success,tabpfn,5,0.8427332092907663,0.054769975458822284,5,8,3
dropout_success,tabpfn,6,0.6717827140470032,0.022424966762271036,5,8,3
dropout_success,tabpfn,7,0.8931088068405806,0.00423953565522124,5,8,3
dropout_success,tabpfn,8,0.8661909884928175,0.04619789352410726,5,8,3
dropout_success,tabpfn,9,0.6463091522994927,0.006644225890739993,5,8,3
dropout_success,tabpfn,10,0.8883650324948652,0.0063303796605043905,5,8,3
dropout_success,tabpfn,11,0.8458478621913968,0.03911435528409945,5,8,3
dropout_success,tabpfn,12,0.6913397287558938,0.01607482755524287,5,8,3
dropout_success,tabpfn,13,0.8464971418252715,0.007400846592109451,5,8,3
dropout_success,tabpfn,14,0.8444067302720907,0.05549024196429954,5,8,3
dropout_success,tabpfn,15,0.6062864947292809,0.015856386377054114,5,8,3
dropout_success,tabpfn,16,0.8396189923921286,0.006489236299264823,5,8,3
dropout_success,tabpfn,17,0.7956901929708484,0.04314603454026894,5,8,3
dropout_success,tabpfn,18,0.5946922570769482,0.004700519231540971,5,8,3
dropout_success,tabpfn,19,0.8097721126585549,0.013496522209147647,5,8,3
dropout_success,tabpfn,20,0.7492726941762123,0.07588294642431354,5,8,3
dropout_success,tabpfn,21,0.6216936424732794,0.017811998562576946,5,8,3
dropout_success,tabpfn,22,0.8224554106212265,0.008777863604035882,5,8,3
dropout_success,tabpfn,23,0.8308770071079226,0.05547612607327143,5,8,3
locations,tabpfn,0,0.9029393325265721,0.016493242449907405,5,8,3
locations,tabpfn,1,0.9664766403740263,0.005707447616642173,5,8,3
locations,tabpfn,2,0.8415170999363338,0.026037255226551693,5,8,3
locations,tabpfn,3,0.912296790937058,0.015591079498754209,5,8,3
locations,tabpfn,4,0.9661398418553565,0.006354354872029665,5,8,3
locations,tabpfn,5,0.79255495453463,0.04007952299983137,5,8,3
locations,tabpfn,6,0.8677839823873328,0.02382112988917443,5,8,3
locations,tabpfn,7,0.966007163651032,0.01807612910938348,5,8,3
locations,tabpfn,8,0.8636636680420487,0.0234111691246489,5,8,3
locations,tabpfn,9,0.9786835211726226,0.007725347917147128,5,8,3
locations,tabpfn,10,0.9736067573544063,0.008957098053904745,5,8,3
locations,tabpfn,11,0.802092233222039,0.04761940431340525,5,8,3
locations,tabpfn,12,0.835897473282109,0.0243200030851639,5,8,3
locations,tabpfn,13,0.9002464023794596,0.008922868751629601,5,8,3
locations,tabpfn,14,0.8185652285904521,0.023399561366910182,5,8,3
locations,tabpfn,15,0.8984282735795412,0.008551926673449886,5,8,3
locations,tabpfn,16,0.9047341332905653,0.006365873572899516,5,8,3
locations,tabpfn,17,0.7998741258061537,0.019220081026830194,5,8,3
locations,tabpfn,18,0.8583249498204226,0.010575175635774134,5,8,3
locations,tabpfn,19,0.892472334407395,0.013959670185237319,5,8,3
locations,tabpfn,20,0.8600755245163079,0.010517457492948483,5,8,3
locations,tabpfn,21,0.8848518426718377,0.013083465220185227,5,8,3
locations,tabpfn,22,0.9078771001307342,0.010963035283748467,5,8,3
locations,tabpfn,23,0.7964886445925126,0.024502960453177177,5,8,3
