dataset,model,attack,mean_runtime_s,mean_auc,n_seed_rows,n_auc_seed_rows,attack_label
46980_MIC,real-tabpfn,amia,43.9,0.824258909503558,5,5,AMIA
46980_MIC,real-tabpfn,rmia,77.483406,0.6675018190701596,5,5,RMIA
46980_MIC,tabdpt,amia,10.719999999999999,0.9908198030413278,5,5,AMIA
46980_MIC,tabdpt,rmia,35.076788,0.9107841308784861,5,5,RMIA
46980_MIC,tabicl,amia,14.819999999999999,0.9754797222930003,5,5,AMIA
46980_MIC,tabicl,rmia,77.48241800000001,0.8589512699342509,5,5,RMIA
46980_MIC,tabpfn,amia,42.46,0.7965452114455631,5,5,AMIA
46980_MIC,tabpfn,rmia,79.936836,0.6660139904226284,5,5,RMIA
credit_rating,real-tabpfn,amia,23.44,0.9018099453627499,5,5,AMIA
credit_rating,real-tabpfn,rmia,50.335628,0.9296579984784563,5,5,RMIA
credit_rating,tabdpt,amia,12.2,0.9798201812020195,5,5,AMIA
credit_rating,tabdpt,rmia,30.30943,0.9795826129054568,5,5,RMIA
credit_rating,tabicl,amia,17.2,0.947558614012034,5,5,AMIA
credit_rating,tabicl,rmia,54.46010199999999,0.9826991838993016,5,5,RMIA
credit_rating,tabpfn,amia,22.98,0.9016380800885262,5,5,AMIA
credit_rating,tabpfn,rmia,50.37666,0.9289475413237429,5,5,RMIA
dropout_success,real-tabpfn,amia,34.99090909090909,0.8699349012691654,55,55,AMIA
dropout_success,real-tabpfn,rmia,60.022866,0.7097187750814687,5,5,RMIA
dropout_success,tabdpt,amia,11.878181818181817,0.9990199401877933,55,55,AMIA
dropout_success,tabdpt,rmia,49.623564,0.9749289407585927,5,5,RMIA
dropout_success,tabicl,amia,25.9,0.992799063758388,55,55,AMIA
dropout_success,tabicl,rmia,58.464566000000005,0.8672009144415123,5,5,RMIA
dropout_success,tabpfn,amia,35.91818181818182,0.8789872836385528,55,55,AMIA
dropout_success,tabpfn,rmia,60.373812,0.7158132836000394,5,5,RMIA
locations,real-tabpfn,amia,51.736363636363635,0.9366133523845627,55,55,AMIA
locations,real-tabpfn,rmia,153.89638,0.8175740300640063,5,5,RMIA
locations,tabdpt,amia,7.947272727272727,0.9999995139992516,55,55,AMIA
locations,tabdpt,rmia,47.660562,0.9015083033227871,5,5,RMIA
locations,tabicl,amia,9.409090909090908,0.9980715490301855,55,55,AMIA
locations,tabicl,rmia,102.183268,0.899355563007567,5,5,RMIA
locations,tabpfn,amia,52.53333333333333,0.9339491682817191,54,54,AMIA
locations,tabpfn,rmia,154.02638,0.8363312289500925,5,5,RMIA
url,real-tabpfn,amia,1023.1800000000001,0.8327177721516342,5,5,AMIA
url,real-tabpfn,rmia,204.204258,0.7309970889170463,5,5,RMIA
url,tabdpt,amia,274.26,0.9096979901137715,5,5,AMIA
url,tabdpt,rmia,13996.031787999998,0.8836058495151498,5,5,RMIA
url,tabicl,amia,1028.42,0.9280384768562481,5,5,AMIA
url,tabicl,rmia,122.16453999999999,0.872188444553222,5,5,RMIA
url,tabpfn,amia,1033.4,0.824634764588567,5,5,AMIA
url,tabpfn,rmia,204.241586,0.7238755727064143,5,5,RMIA
us_stocks_financial,real-tabpfn,amia,652.02,0.886752016232343,5,5,AMIA
us_stocks_financial,real-tabpfn,rmia,185.44332400000002,0.7107557336866464,5,5,RMIA
us_stocks_financial,tabdpt,amia,32.94,0.9307902097206048,5,5,AMIA
us_stocks_financial,tabdpt,rmia,50.787220000000005,0.7568328129855796,5,5,RMIA
us_stocks_financial,tabicl,amia,92.97999999999999,0.6753652664280034,5,5,AMIA
us_stocks_financial,tabicl,rmia,113.76153200000002,0.8378363044581804,5,5,RMIA
us_stocks_financial,tabpfn,amia,654.9,0.7644010987208256,5,5,AMIA
us_stocks_financial,tabpfn,rmia,185.27187199999997,0.6595770345081065,5,5,RMIA
