dataset,model,model_label,defense_key,defense_label,amia_row_max_auc,rmia_auc,accuracy,privacy_gain,accuracy_drop,tradeoff_score
46980_MIC,real-tabpfn,Real TabPFN,highrisk_label_kanon_k10,high-risk label k-anon k10,0.403394897147015,0.4536511430590324,0.9173,0.3225178557825418,0.016249432739059988,0.3062684230434818
46980_MIC,tabdpt,TabDPT,highrisk_label_kanon_k5,high-risk label k-anon k5,0.0226589158079166,0.7802681453890182,0.9222,0.5352505588551286,0.006487196110210758,0.5287633627449179
46980_MIC,tabicl,TabICL,highrisk_label_kanon_k5,high-risk label k-anon k5,0.0299194355497532,0.3171841056610514,0.9254,0.7519320232525764,0.004907941653160441,0.7470240815994159
46980_MIC,tabpfn,TabPFN,highrisk_label_kanon_k10,high-risk label k-anon k10,0.4141201873445252,0.4872179127844512,0.9141,0.2903932081042532,0.01944943273905997,0.2709437753651932
credit_rating,real-tabpfn,Real TabPFN,highrisk_label_kanon_k3,high-risk label k-anon k3,0.1480738640293243,0.3868040666712774,0.4888,0.6626478318002627,0.10121314060446784,0.5614346911957948
credit_rating,tabdpt,TabDPT,highrisk_label_kanon_k10,high-risk label k-anon k10,0.08708416902967,0.3542257417525417,0.523,0.7595239124420775,0.03810381077529568,0.7214201016667818
credit_rating,tabicl,TabICL,highrisk_label_kanon_k10,high-risk label k-anon k10,0.1093972612213846,0.3495054983055536,0.5138,0.7447351130783595,0.06964283837056506,0.6750922747077944
credit_rating,tabpfn,TabPFN,highrisk_label_kanon_k3,high-risk label k-anon k3,0.155940936440971,0.3988536551628743,0.4809,0.6535168407220417,0.10385689881734561,0.5496599419046961
dropout_success,real-tabpfn,Real TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.3303094778476471,0.5256254721084075,0.7251,0.3758351709000643,0.05609349005424957,0.3197416808458147
dropout_success,tabdpt,TabDPT,highrisk_label_kanon_k10,high-risk label k-anon k10,0.0058119065604129,0.6239141279542314,0.7697408077154912,0.6710942669007998,0.0042194092827004814,0.6668748576180993
dropout_success,tabicl,TabICL,highrisk_label_kanon_k10,high-risk label k-anon k10,0.0688821381247045,0.4194075750259512,0.7643,0.6924411969562702,0.018701808318264068,0.6737393886380061
dropout_success,tabpfn,TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.2868251824577505,0.5267392755318225,0.7263,0.4047625405981438,0.05790735382760703,0.3468551867705368
locations,real-tabpfn,Real TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.3300066582102536,0.3760758841568616,0.6963,0.5297335257896296,0.09497725856697814,0.4347562672226515
locations,tabdpt,TabDPT,highrisk_label_kanon_k10,high-risk label k-anon k10,0.0,0.1660506607180175,0.7897196261682243,0.8597972890878252,-0.007788161993769527,0.8675854510815947
locations,tabicl,TabICL,highrisk_label_kanon_k10,high-risk label k-anon k10,0.0142835619966854,0.1467345609712238,0.8489096573208723,0.8736088228575873,0.010903426791277204,0.8627053960663101
locations,tabpfn,TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.3393706776308435,0.3771499458109166,0.715,0.5360539655231069,0.09496884735202493,0.441085118171082
url,real-tabpfn,Real TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.5002147819170121,0.4952732191473438,0.9412,0.27565813741208667,0.03173513765748959,0.24392299975459708
url,tabdpt,TabDPT,label_kanon_k5,label k-anon k5,0.5379735300272251,0.521057963844563,0.9297713485767616,0.37729632381328565,0.036630891273915056,0.3406654325393706
url,tabicl,TabICL,attn_drop_p30,attn drop p30,0.5041781084558588,0.509237173891316,0.9258049463369108,0.39503110159742644,0.04339710685954279,0.35163399473788365
url,tabpfn,TabPFN,highrisk_label_kanon_k5,high-risk label k-anon k5,0.5034624227726862,0.5095190768585564,0.9374708352776482,0.25561462413627234,0.03476434904339698,0.22085027509287536
us_stocks_financial,real-tabpfn,Real TabPFN,highrisk_label_kanon_k10,high-risk label k-anon k10,0.1627361333682812,0.3351985118386025,0.994535519125683,0.5417571238611978,0.004857316332726125,0.5368998075284717
us_stocks_financial,tabdpt,TabDPT,highrisk_label_kanon_k5,high-risk label k-anon k5,0.3263776681416305,0.4460419839350235,0.8148148148148148,0.466022379192873,0.11293260473588362,0.35308977445698936
us_stocks_financial,tabicl,TabICL,highrisk_label_kanon_k10,high-risk label k-anon k10,0.4519866298460265,0.5148322150372575,0.994535519125683,0.27273622921696405,0.004857316332726125,0.26787891288423793
us_stocks_financial,tabpfn,TabPFN,highrisk_label_kanon_k3,high-risk label k-anon k3,0.2958793545254771,0.3920653511066284,1.0,0.3509913334358177,0.0,0.3509913334358177
