model_label,defense_key,k,alpha,accuracy_drop,amia_auc_reduction,rmia_auc_reduction,n_datasets
Real TabPFN,highrisk_label_kanon_k10,10,base,0.13883537431061388,0.5924450727363133,0.3565027101188254,2
Real TabPFN,highrisk_label_kanon_k10_a30,10,a30,0.06963537431061384,0.5651419763826083,0.2983209630130571,2
Real TabPFN,highrisk_label_kanon_k10_a50,10,a50,0.03823537431061386,0.5228136083110352,0.2091152732842222,2
Real TabPFN,highrisk_label_kanon_k3,3,base,0.042185374310613866,0.5652621783319414,0.24866377183029723,2
Real TabPFN,highrisk_label_kanon_k3_a30,3,a30,0.028385374310613887,0.5172476240070996,0.14999372093063612,2
Real TabPFN,highrisk_label_kanon_k3_a50,3,a50,0.020385374310613824,0.39946164925386407,0.10156001998423342,2
Real TabPFN,highrisk_label_kanon_k5,5,base,0.07553537431061386,0.5852235268486445,0.32034516984104944,2
Real TabPFN,highrisk_label_kanon_k5_a30,5,a30,0.04133537431061385,0.5564042263455191,0.2211835456225375,2
Real TabPFN,highrisk_label_kanon_k5_a50,5,a50,0.027885374310613886,0.4901446629755658,0.14013776663017935,2
TabDPT,highrisk_label_kanon_k10,10,base,-0.0017843763555345227,0.9966898365392196,0.5342017194494053,2
TabDPT,highrisk_label_kanon_k10_a30,10,a30,-0.002387149110206044,0.9462950897930077,0.30074286598393163,2
TabDPT,highrisk_label_kanon_k10_a50,10,a50,-0.0014829899781987899,0.1084341642190737,-0.0022374546544084994,2
TabDPT,highrisk_label_kanon_k3,3,base,-0.002387149110206044,0.9032523414948899,0.3987720931066166,2
TabDPT,highrisk_label_kanon_k3_a30,3,a30,-0.0008802172235272687,0.09057029121315474,0.010744386525835925,2
TabDPT,highrisk_label_kanon_k3_a50,3,a50,-0.0014829899781987899,0.0037185945983825297,-0.006056080529124597,2
TabDPT,highrisk_label_kanon_k5,5,base,-0.0014829899781987899,0.9967908436674888,0.47720331547825867,2
TabDPT,highrisk_label_kanon_k5_a30,5,a30,-0.001181603600863057,0.5155775204801814,0.12790408629883332,2
TabDPT,highrisk_label_kanon_k5_a50,5,a50,-0.0014829899781987899,0.02061552104584652,-0.004259506740210639,2
TabICL,highrisk_label_kanon_k10,10,base,0.014802617554770636,0.953765394517506,0.6122846252963515,2
TabICL,highrisk_label_kanon_k10_a30,10,a30,0.006529720358508961,0.914643969360224,0.4261310452441936,2
TabICL,highrisk_label_kanon_k10_a50,10,a50,0.0034220879597550713,0.6000073571498248,0.25170161013902065,2
TabICL,highrisk_label_kanon_k3,3,base,0.006529720358508961,0.9243636522912837,0.44101953565387875,2
TabICL,highrisk_label_kanon_k3_a30,3,a30,0.004322087959755028,0.5957135983972279,0.25457056737329437,2
TabICL,highrisk_label_kanon_k3_a50,3,a50,0.0052797203585089325,0.3156592291439169,0.18481058211418255,2
TabICL,highrisk_label_kanon_k5,5,base,0.011087352757262858,0.9510102545955718,0.5404887037030219,2
TabICL,highrisk_label_kanon_k5_a30,5,a30,0.004800904159132036,0.8168891968719866,0.3371944739839379,2
TabICL,highrisk_label_kanon_k5_a50,5,a50,0.004022087959755061,0.4694474020688746,0.21902717798201726,2
TabPFN,highrisk_label_kanon_k10,10,base,0.1385881005898159,0.6067265373960902,0.377599745763972,2
TabPFN,highrisk_label_kanon_k10_a30,10,a30,0.0651381005898159,0.5768651583424722,0.30163993696602137,2
TabPFN,highrisk_label_kanon_k10_a50,10,a50,0.025638100589815915,0.5407798928905599,0.20944048444976787,2
TabPFN,highrisk_label_kanon_k3,3,base,0.048138100589815935,0.5800198654441641,0.2606066435793907,2
TabPFN,highrisk_label_kanon_k3_a30,3,a30,0.023238100589815902,0.5401803911090055,0.159259490810646,2
TabPFN,highrisk_label_kanon_k3_a50,3,a50,0.008438100589815922,0.4495234298855439,0.10614368289441456,2
TabPFN,highrisk_label_kanon_k5,5,base,0.07643810058981598,0.604418153809959,0.3363983523112918,2
TabPFN,highrisk_label_kanon_k5_a30,5,a30,0.03763810058981598,0.5722759568204097,0.22607382406447818,2
TabPFN,highrisk_label_kanon_k5_a50,5,a50,0.01903810058981592,0.5165856557341051,0.14279354953893109,2
