defense_key,defense_label,family,variant,variant_order,k,alpha,dropout_p,accuracy_drop,amia_auc_reduction,rmia_auc_reduction,tradeoff_score,n_models
attn_drop_p10,attn drop p10,Attention dropout,p10,10.0,,base,10.0,0.013039128802736328,0.0916287683812919,0.09026676240215958,0.07790863658898942,4
attn_drop_p30,attn drop p30,Attention dropout,p30,30.0,,base,30.0,0.04063982443183159,0.12498045216679367,0.13369715889574604,0.08869898109943827,4
attn_drop_p50,attn drop p50,Attention dropout,p50,50.0,,base,50.0,0.08890451665210738,0.15203435666623555,0.17062437449036377,0.0724248489261923,4
attn_drop_p70,attn drop p70,Attention dropout,p70,70.0,,base,70.0,0.12526171779214873,0.19153104396982662,0.19976118222415537,0.07038439530484224,4
attn_drop_p90,attn drop p90,Attention dropout,p90,90.0,,base,90.0,0.17750522810724062,0.24267560950747855,0.23918020321976036,0.06342267825637882,4
highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,High-risk label k-anon,k3 a30,3.0,3.0,a30,,0.01834463795902372,0.4136871209503341,0.17624198154565976,0.27661991328897323,4
highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,High-risk label k-anon,k3 a50,3.0,3.0,a50,,0.012234230089915544,0.28351668426463383,0.12612817059124515,0.19258819733802396,4
highrisk_label_kanon_k3,high-risk label k-anon k3,High-risk label k-anon,k3 base,3.0,3.0,base,,0.02819646431866515,0.6479711408464671,0.3169904435623824,0.4542843278857596,4
highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,High-risk label k-anon,k5 a30,5.0,5.0,a30,,0.022493208253914192,0.5446121188045938,0.22314066875945068,0.361383185528108,4
highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,High-risk label k-anon,k5 a50,5.0,5.0,a50,,0.015700304079747367,0.3417829831328866,0.14529803231657687,0.22784020364498436,4
highrisk_label_kanon_k5,high-risk label k-anon k5,High-risk label k-anon,k5 base,5.0,5.0,base,,0.03839182756853515,0.6812784611626823,0.3817606255452091,0.4931277157854106,4
highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,High-risk label k-anon,k10 a30,10.0,10.0,a30,,0.03143240729789662,0.6141862526244664,0.2922151558964688,0.421768296962571,4
highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,High-risk label k-anon,k10 a50,10.0,10.0,a50,,0.018937078334431395,0.3797523848556926,0.1710593132823307,0.25646877073458024,4
highrisk_label_kanon_k10,high-risk label k-anon k10,High-risk label k-anon,k10 base,10.0,10.0,base,,0.052845439190115244,0.6609601914376384,0.4180779606811918,0.4866736368692999,4
label_kanon_k3_a30,label k-anon k3 a30,Label k-anon,k3 a30,3.0,3.0,a30,,0.03612838134696728,0.13005819226140805,0.14731058871899994,0.10255600914323672,4
label_kanon_k3_a50,label k-anon k3 a50,Label k-anon,k3 a50,3.0,3.0,a50,,0.023969596148730295,0.07089217692829342,0.10832733163379044,0.06564015813231162,4
label_kanon_k3,label k-anon k3,Label k-anon,k3 base,3.0,3.0,base,,0.06453857429642605,0.2565616240932372,0.23290057215791846,0.18019252382915177,4
label_kanon_k5_a30,label k-anon k5 a30,Label k-anon,k5 a30,5.0,5.0,a30,,0.04425183527669316,0.1711221985018742,0.1788006569768309,0.1307095924626594,4
label_kanon_k5_a50,label k-anon k5 a50,Label k-anon,k5 a50,5.0,5.0,a50,,0.029537117552484494,0.09785177049039502,0.12234847980083904,0.08056300759313254,4
label_kanon_k5,label k-anon k5,Label k-anon,k5 base,5.0,5.0,base,,0.09083148891807963,0.32510595372396695,0.2655630643196247,0.20450302010371618,4
label_kanon_k10_a30,label k-anon k10 a30,Label k-anon,k10 a30,10.0,10.0,a30,,0.06390262068425981,0.20963716232466648,0.2138545716729933,0.14784324631457008,4
label_kanon_k10_a50,label k-anon k10 a50,Label k-anon,k10 a50,10.0,10.0,a50,,0.034845534853774576,0.1256222618899698,0.1333137552715608,0.09462247372699073,4
label_kanon_k10,label k-anon k10,Label k-anon,k10 base,10.0,10.0,base,,0.12673592603811187,0.36488269103764237,0.28667661224352137,0.19904372560247,4
