dataset,defense_key,defense_label,defense_short,family,rmia_auc,amia_row_max_auc,accuracy,tradeoff_score,n_models
credit_rating,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.4867474410401825,0.20659148281347256,0.50755,0.5348929395186388,4
credit_rating,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.634430112732554,0.3707189293865413,0.530875,0.4023128803859187,4
credit_rating,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.4233617470087835,0.14187962514696725,0.5072,0.598591715367591,4
credit_rating,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.5913604848191437,0.33992063766512204,0.527925,0.4362968402033336,4
credit_rating,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.6911043727090393,0.4209663963621274,0.544025,0.36200201690988304,4
credit_rating,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.3856402154367521,0.15865939899024828,0.501325,0.6031875942319662,4
credit_rating,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.5717405681582406,0.25703368144408323,0.52135,0.4809752766443045,4
credit_rating,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.6801293744380663,0.4182066532955253,0.53675,0.3615943875786705,4
credit_rating,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.531259941904696,0.5093268033750605,0.36829999999999996,0.2220190288055881,4
credit_rating,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.5288161785047375,0.5104065806763953,0.3567674113009198,0.2111684331558198,4
credit_rating,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.5258061587938309,0.5011813576319248,0.3340998685939553,0.19461851182654394,4
credit_rating,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.5220701639117504,0.5063020869354726,0.3229303547963206,0.1827566308181754,4
credit_rating,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.6398873538972267,0.6201619665952002,0.408025,0.15201274119925298,4
credit_rating,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5972452278857459,0.5728335292897158,0.3961892247043364,0.18516224756207195,4
credit_rating,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5753081990455771,0.5551624420775987,0.38304862023653086,0.19182570112040936,4
credit_rating,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5580224687046131,0.5368170343730548,0.3669513797634691,0.19354402967010154,4
credit_rating,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.7434178107061347,0.7418956186458261,0.47240000000000004,0.10375568676948604,4
credit_rating,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.6631163980911543,0.657708866449962,0.43528252299605785,0.1488822921709661,4
credit_rating,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.6242619216405008,0.6143293104640708,0.41918528252299603,0.17390206791617668,4
credit_rating,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5981572895774259,0.5961682602531295,0.40111695137976344,0.17796657790995218,4
credit_rating,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.6011919479217097,0.6201816342762294,0.391925,0.1552506103464969,4
credit_rating,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.5749755774949858,0.5967455391105886,0.3817345597897503,0.16988640293242951,4
credit_rating,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.5603162390206792,0.571555778407912,0.3676084099868594,0.17568480271803016,4
credit_rating,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.551964606819282,0.5605857510892869,0.3495400788436268,0.16727730133480873,4
credit_rating,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.7056547824884156,0.780971194411785,0.45665,0.08734941299536615,4
credit_rating,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.6583905353067294,0.7118321633584619,0.42181340341655715,0.11071445552942795,4
credit_rating,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.6233342987066879,0.6618913825299122,0.40473061760841,0.13613017843557634,4
credit_rating,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.596327762984992,0.6358855211287088,0.3932325886990801,0.1511383480876961,4
credit_rating,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.7865596254927727,0.8638255152500174,0.49572499999999997,0.04454483107407138,4
credit_rating,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.7162759786292275,0.7786810982778892,0.4586070959264126,0.08514095891832064,4
credit_rating,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.6816472439311155,0.7310665070198492,0.4369250985545335,0.1045806245245175,4
credit_rating,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.6476547911335501,0.6949460543606059,0.41754270696452034,0.12025468566290883,4
credit_rating,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.564931011826544,0.5322048551075454,0.382725,0.20816946797842167,4
credit_rating,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.5470848606404316,0.5236461719344353,0.37155059132720103,0.210197476485234,4
credit_rating,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.543091889134795,0.5162753302441386,0.34132720105124836,0.18565599280724793,4
credit_rating,label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.5352987326232796,0.5164482329345045,0.3318002628120893,0.17993918147866372,4
credit_rating,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,0.6929890120340273,0.6670763019572585,0.44645,0.14042974444982353,4
credit_rating,label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.6305758956359361,0.6011309997233557,0.40867279894875164,0.16683175271457215,4
credit_rating,label_kanon_k5_a30+attn_drop_p30,label k-anon k5 a30 + attn drop p30,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.6006218013002282,0.5672358046891209,0.3968462549277267,0.1869298533785185,4
credit_rating,label_kanon_k5_a30+attn_drop_p50,label k-anon k5 a30 + attn drop p50,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.5760049968877515,0.5529319973718791,0.38107752956636,0.19062143388201108,4
credit_rating,label_kanon_k5_a50,label k-anon k5 a50,label k-anon k5 a50,Label k-anon,0.7696607649215021,0.7952855920188119,0.479625,0.0711642229753094,4
credit_rating,label_kanon_k5_a50+attn_drop_p10,label k-anon k5 a50 + attn drop p10,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.6805447731516703,0.6964464174562557,0.4385676741130092,0.12408448025451259,4
credit_rating,label_kanon_k5_a50+attn_drop_p30,label k-anon k5 a50 + attn drop p30,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.6438924285911889,0.6623692423404108,0.42706964520367935,0.14795121118334592,4
credit_rating,label_kanon_k5_a50+attn_drop_p50,label k-anon k5 a50 + attn drop p50,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.6122992167508126,0.6334363545196764,0.4080157687253614,0.1591603845355833,4
credit_rating,no_defense,No defense,No defense,No defense,0.958873582197939,0.948809564976831,0.5798291721419185,0.0,4
dropout_success,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.7391699375899481,0.8344762035562503,0.7741,0.09115890041750821,4
dropout_success,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.6990316395745928,0.79876014658387,0.757225,0.11221107791137598,4
dropout_success,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.6476473514150627,0.7687094359187887,0.7414000000000001,0.13710357732368167,4
dropout_success,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.608847216181778,0.728428074749635,0.719725,0.1549693255249009,4
dropout_success,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.581648730634699,0.6615115789412491,0.6683250000000001,0.15062681620263335,4
dropout_success,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.5157371740022185,0.17299055765018176,0.7385602019288728,0.49807830709328005,4
dropout_success,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.5960408384899653,0.19508999989463283,0.7543615883062086,0.4626781401045169,4
dropout_success,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.6741619042532359,0.4460313554466277,0.761309508740205,0.30509484988088054,4
dropout_success,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.5738351661767094,0.184233323196287,0.7536115883062086,0.4784593146103177,4
dropout_success,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.6698157818914565,0.4431534243778161,0.7596581223628692,0.30705549021884027,4
dropout_success,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.6913758533376497,0.6043152479706831,0.767784508740205,0.22382092907664586,4
dropout_success,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.5531660375521249,0.17384380446618636,0.7465095087402049,0.48688655872165665,4
dropout_success,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.6300793323792157,0.23934016003453132,0.756033815551537,0.425206040335271,4
dropout_success,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.6803797468354431,0.5172976523836047,0.764034508740205,0.26907778012128847,4
dropout_success,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.5399434142080696,0.5313544474564915,0.71085,0.27908304015832686,4
dropout_success,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.5303796650850694,0.5259664620000647,0.7014767932489452,0.27718570069698545,4
dropout_success,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.5195081824857273,0.5208427119178601,0.6936407474382158,0.2773472712270295,4
dropout_success,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.5150317136949316,0.5220297273425206,0.6601868595539482,0.24553811002582945,4
dropout_success,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.6003831458343097,0.707425495434514,0.7455,0.19547765035619544,4
dropout_success,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5783029603445288,0.636821649024936,0.7352320675105485,0.23155173381642347,4
dropout_success,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5564195661707507,0.6236076094701086,0.7234779987944545,0.2373463819646322,4
dropout_success,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5439727992890261,0.607293959083393,0.689873417721519,0.21812200952591684,4
dropout_success,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.6663400739241379,0.7917051347591326,0.757975,0.13283436664897216,4
dropout_success,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.6366784950373889,0.7012988045188701,0.745177817962628,0.18007113917510598,4
dropout_success,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5995635983389778,0.6859223313317209,0.7349306811332128,0.19606968728847085,4
dropout_success,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5823661809967805,0.6767518469226071,0.7115732368896925,0.1858961939206062,4
dropout_success,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.5767333077545498,0.6222713087798811,0.745025,0.24940466272339193,4
dropout_success,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.5646777164104974,0.573086378171415,0.7329716696805304,0.2679715933801817,4
dropout_success,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.5446363852382805,0.5677150152909531,0.7147377938517179,0.2624440645777084,4
dropout_success,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.5332687687049397,0.5539547469898604,0.6891199517781796,0.249390164921387,4
dropout_success,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.6591192450916167,0.759481181245665,0.754825,0.14940675782196655,4
dropout_success,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.6225733764103303,0.6764665835356201,0.745177817962628,0.1995398089802603,4
dropout_success,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.5911547549105634,0.6574463145296574,0.7295057263411694,0.2090871626116664,4
dropout_success,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.5685421928211545,0.6433132191080779,0.7010247136829415,0.19897897870893266,4
dropout_success,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.6753186266227903,0.8295490631225518,0.761,0.11244812611793632,4
dropout_success,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.6428018251043408,0.7306694429093541,0.752411091018686,0.16955742800244594,4
dropout_success,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.6175084865971171,0.709682577832714,0.7427667269439422,0.18305316571963393,4
dropout_success,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.5949121837486797,0.697948174623158,0.7328209764918625,0.1902727682965511,4
dropout_success,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.5531096752112157,0.5545666031193763,0.72845,0.27849383182531134,4
dropout_success,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.5425673741162331,0.5369622505841518,0.7166968053044003,0.2808139639448151,4
dropout_success,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.5275941573552991,0.5316706851516978,0.7093128390596745,0.2835623887967834,4
