dataset,defense_key,defense_label,defense_short,family,rmia_auc,amia_row_max_auc,accuracy,tradeoff_score,n_models
46980_MIC,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.685720167906086,0.7813480951642942,0.9290499999999999,0.1025676219959074,4
46980_MIC,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.6326046326529003,0.7687528402449243,0.911625,0.1179980170821852,4
46980_MIC,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.6094640244398971,0.7346626774085934,0.9092,0.14418840260685228,4
46980_MIC,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.5817369952901187,0.7013638429269036,0.898675,0.16417633442258636,4
46980_MIC,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.5483531176367061,0.6752982749698573,0.8468249999999999,0.14205105722781589,4
46980_MIC,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.48785360228427926,0.24724381319134509,0.9197500000000001,0.4592530457932854,4
46980_MIC,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.6622738639677006,0.3800037563470444,0.922625,0.308537943373725,4
46980_MIC,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.7365375674106686,0.6401570573355153,0.9218,0.14050444115800562,4
46980_MIC,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.6326062744129722,0.30495364982965095,0.922625,0.3608967914097859,4
46980_MIC,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.7205602867432471,0.5226779602247504,0.923025,0.2084576300470988,4
46980_MIC,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.7380059576189488,0.72953513235213,0.924225,0.09750620854555814,4
46980_MIC,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.526373562146529,0.2500817596515791,0.9189499999999999,0.43777409263204353,4
46980_MIC,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.6959217366406699,0.37581693981176234,0.923025,0.2942074153048814,4
46980_MIC,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.7252425864682195,0.641682909146311,0.923025,0.14661400572383232,4
46980_MIC,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.5345866310820644,0.5122061577823367,0.91855,0.302205359098897,4
46980_MIC,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.5257565887115204,0.5115576625539482,0.9055915721231766,0.2939862000215399,4
46980_MIC,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.5144139967269872,0.5055471789308333,0.9039708265802269,0.30104199228241424,4
46980_MIC,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.5134476567486846,0.5009666683303169,0.8999189627228525,0.2997635537144493,4
46980_MIC,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.5904767408567098,0.6740856709807743,0.922625,0.19739554761235548,4
46980_MIC,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5556694572209862,0.5908806138343897,0.9108589951377632,0.24463571314117286,4
46980_MIC,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5427130150858049,0.5649693713240992,0.9084278768233387,0.26163843714948415,4
46980_MIC,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.5409054372466764,0.5527648553018343,0.9076175040518637,0.26783411130870594,4
46980_MIC,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.6720337992429516,0.7558972021781559,0.920175,0.11326125282054376,4
46980_MIC,label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5847755648311351,0.6309861855740513,0.9136952998379254,0.21286617816642978,4
46980_MIC,label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5666387129651762,0.6309231419872915,0.9080226904376012,0.21629351649246492,4
46980_MIC,label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,label k-anon k10 a50 + attn...,Label k-anon + dropout,0.5512652716521885,0.6095585898200369,0.9064019448946515,0.23304176768963641,4
46980_MIC,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,0.5579446083285832,0.7028634265765494,0.9206000000000001,0.19724773607853133,4
46980_MIC,label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,0.5358100706876217,0.6183006338507285,0.9088330632090761,0.23882946447099856,4
46980_MIC,label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,label k-anon k3 + attn drop p30,Label k-anon + dropout,0.5180793902634434,0.6132765196787929,0.9076175040518638,0.24899130261184327,4
46980_MIC,label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,label k-anon k3 + attn drop p50,Label k-anon + dropout,0.520984648886624,0.6019989413931056,0.9051863857374393,0.25074634412867197,4
46980_MIC,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,0.638656160277812,0.8147181820331031,0.923825,0.10418958237563998,4
46980_MIC,label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.5784800716595436,0.7045672451791357,0.9108589951377634,0.17638709024952123,4
46980_MIC,label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.5580227561080042,0.6956800695580907,0.9108589951377634,0.19105933583581342,4
46980_MIC,label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,label k-anon k3 a30 + attn drop...,Label k-anon + dropout,0.5453427863689257,0.6769925713640268,0.9068071312803889,0.20269120594501017,4
46980_MIC,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,0.6713511554050682,0.860842446196239,0.923825,0.06477995273044398,4
46980_MIC,label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.6101916525037497,0.7352330248575609,0.920583468395462,0.15492288324590425,4
46980_MIC,label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.5859313639217314,0.7159728807504289,0.9092382495948137,0.16533788078983108,4
46980_MIC,label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,label k-anon k3 a50 + attn drop...,Label k-anon + dropout,0.5559633322738509,0.7038195876424063,0.9080226904376013,0.18518298401057032,4
46980_MIC,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,0.5411159108878901,0.6212449663636197,0.91815,0.24402131490534265,4
46980_MIC,label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.5147377518131598,0.5817898599644329,0.9059967585089141,0.2647847061512153,4
46980_MIC,label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.5115024994155334,0.5725933767458476,0.9027552674230146,0.2677590828734216,4
46980_MIC,label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.5127650129108012,0.5664229856917327,0.9023500810372771,0.2698078352671078,4
46980_MIC,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,0.5930290210644384,0.7927898494571685,0.9234249999999999,0.1375673182702941,4
46980_MIC,label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.5583914954201461,0.681447323143038,0.9112641815235009,0.19839652577300637,4
46980_MIC,label_kanon_k5_a30+attn_drop_p30,label k-anon k5 a30 + attn drop p30,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.5528423463772265,0.673669977330577,0.9088330632090762,0.20262865488627196,4
46980_MIC,label_kanon_k5_a30+attn_drop_p50,label k-anon k5 a30 + attn drop p50,label k-anon k5 a30 + attn drop...,Label k-anon + dropout,0.5367045015747762,0.655467126709729,0.9068071312803889,0.21777307066923385,4
46980_MIC,label_kanon_k5_a50,label k-anon k5 a50,label k-anon k5 a50,Label k-anon,0.6506810677482144,0.8396020110904175,0.9222,0.08411021411178159,4
46980_MIC,label_kanon_k5_a50+attn_drop_p10,label k-anon k5 a50 + attn drop p10,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.5922672443910909,0.7229382120313431,0.9128849270664505,0.16233395238633105,4
46980_MIC,label_kanon_k5_a50+attn_drop_p30,label k-anon k5 a50 + attn drop p30,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.5775603576672822,0.7062943767747426,0.910453808752026,0.17557819506211106,4
46980_MIC,label_kanon_k5_a50+attn_drop_p50,label k-anon k5 a50 + attn drop p50,label k-anon k5 a50 + attn drop...,Label k-anon + dropout,0.5522404771348791,0.6874594485262249,0.9076175040518638,0.1948192947524094,4
46980_MIC,no_defense,No defense,No defense,No defense,0.7743578091302875,0.9027926995526532,0.9315235008103728,0.0,4
credit_rating,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.8800528649975794,0.8622797651981464,0.5519,0.0547460863476035,4
credit_rating,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.8003157635382807,0.7965717719067709,0.49277499999999996,0.06834363372294065,4
credit_rating,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.7483347309634139,0.7659299571201328,0.45335000000000003,0.07023005740369306,4
credit_rating,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.7254409018604329,0.7338141468981256,0.4225,0.0668848770661871,4
credit_rating,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.6788760460612767,0.6817691403278234,0.36367499999999997,0.05736480825091629,4
credit_rating,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.3555553634414551,0.2919042637803444,0.49967500000000004,0.5499575878345667,4
