layer,head,row_max_delta,row_ent_delta,row_max_auc_delta
0,0,0.0005382383242249003,0.09832048416137695,-0.0008796921077623421
0,1,-0.0011982787400484016,0.005702018737792969,-1.5302021341589978e-05
0,2,1.4990800991999172e-06,-0.0035486221313476562,-4.281288434215824e-06
0,3,0.0006483532488345996,0.07600545883178711,0.0001451541140929935
0,4,-0.011634144932031597,-0.11661338806152344,-2.230776605238738e-05
0,5,-0.0657300353050232,-0.34666872024536133,0.0003649337485978066
0,6,-0.001327776350081,-0.005279064178466797,-8.576916112146282e-05
0,7,-5.507236346600011e-05,-0.015112876892090732,0.0002998130982025393
1,0,-0.001299153082072799,-0.021422386169433594,-0.00020914810963701402
1,1,-0.0004303269088268991,-0.1159791946411124,0.00024089929180526326
1,2,-0.0030033013317734003,-0.08742618560791016,0.00011795052059648814
1,3,-0.0121671012602747,-0.09929180145263583,2.9928049772809384e-05
1,4,0.0003995525185018999,0.016204357147216797,0.0004174153800268199
1,5,0.0010806058999151,0.01498126983642667,0.00038621728296739377
1,6,0.00040164543315769977,0.03142213821411133,-5.8749929327972517e-05
1,7,-0.00014803651720280038,0.0508112907409668,0.00028668244802848575
2,0,-0.023786950856447296,0.049327850341796875,-0.0004185010656105881
2,1,-0.0006646001711487996,0.1930532455444336,-0.0004469747063938767
2,2,-0.0085016936063766,-0.11832761764526367,0.00027451457563631987
2,3,-0.0130715314298868,-0.0007181167602539062,0.0006253548962780742
2,4,-0.0513768941164017,-0.11235427856445312,-4.348887725369455e-05
2,5,-0.038861780427396304,-0.7983222007751465,0.0005230956050628066
2,6,-0.0049982881173492,-0.1322617530822754,-0.001557508150835718
2,7,-0.0067859021946787,-0.2904996871948242,-0.00010842516594605778
3,0,-0.025423062033951296,-0.0764927864074707,0.00041628872517573967
3,1,-0.0065496023744344,-0.4121870994567871,-0.0005006034773074597
3,2,-0.0172619884833694,-0.27028942108154297,0.00041680084101713977
3,3,0.003109142184257502,0.4302177429199219,-0.0005667688440192942
3,4,-0.030506823211908302,-0.369936466217041,-0.00047804989565120026
3,5,-0.0010721404105424998,0.006859779357910156,-0.00030876488311049055
3,6,-2.4034641683100353e-05,0.019712448120117188,0.0004132365147609396
3,7,-0.0013615638017655009,0.18472576141357333,-0.00011528751822109662
4,0,-0.044949354603886604,-0.295501708984375,0.0005153319289069036
4,1,-4.851864650849951e-05,-0.016365528106689453,0.0010297625339327765
4,2,-0.0217824494466186,-0.33155012130737305,0.0002946509705209488
4,3,-0.0011933026835322016,0.048503875732421875,0.0003283277082528624
4,4,-0.0075714215636254,-0.3203144073486337,0.0005138570352835603
4,5,-0.0032075750641525,0.053813934326171875,0.00047934042757180606
4,6,-0.0025037229061127004,0.015232086181640625,-0.0005603161844173199
4,7,-0.031787465326488004,-0.8168158531188956,-9.736346377148264e-05
5,0,0.0045680589973926995,0.2725090980529785,0.0008087128521411802
5,1,-0.014708169735968099,-0.17323684692382812,-6.88898229881385e-05
5,2,0.0096592977643013,0.5166306495666504,-0.00022633471727528942
5,3,-0.0028551463037729003,-0.027212142944335938,0.000813321894713892
5,4,0.0003037916030735003,-0.07337665557861328,0.0011432474043921448
5,5,-0.0202350206673146,-0.2267131805419922,-0.0002714828498551203
5,6,-0.0006145620718598999,-0.054497718811035156,1.8886832231723716e-05
5,7,-0.00023055728524929917,-0.17356300354003906,-0.00017657754212252463
6,0,-0.034523187205195496,-0.34886598587036133,0.00036268043889564616
6,1,-0.0029801833443344,-0.27178621292114347,0.0015078738834850558
6,2,-0.0021705306135118,-0.12155294418334961,0.0008197131004148428
6,3,-0.011806236580014201,-0.24432897567749023,0.00013339593437378117
6,4,-0.0004685316234826998,-0.048998355865478516,8.552334551747975e-05
6,5,-0.0715264603495598,-0.22453641891479492,-0.00036890776752718235
6,6,-0.059365287423133906,-0.005558490753173828,-0.00035456852396742455
6,7,-0.011595642194151799,-0.06755876541137695,0.00018389055633810658
7,0,0.031121585518121796,0.46154260635375977,0.0002514898474058058
7,1,-0.1271366253495217,-0.4790663719177246,0.00039781158561713603
7,2,-0.0505994446575641,-0.2345418930053711,0.0003597716209163271
7,3,-0.0787623450160026,-0.3312063217163086,1.1922056788238322e-05
7,4,-0.006873836740851399,-0.24832487106323242,-0.00013700122989745989
7,5,-0.07257673982530831,-0.4701652526855469,-3.189457460373024e-05
7,6,-0.0118160750716924,-0.3341641426086426,-0.0006681677806210651
7,7,-0.1549185067415237,-0.727287769317627,-0.00022248360614757212
8,0,-0.045697452500462594,-0.1055293083190918,-0.00020734546187517466
8,1,-0.009495690464973498,-0.2656726837158203,0.0006959654284935946
8,2,-0.017379766330123,-0.018587112426757812,-5.500124136881279e-05
8,3,-0.0037492029368877966,-0.20802879333496094,0.0006656072014141201
8,4,-0.024613319896161598,-0.3624758720397949,4.8364220064101016e-05
8,5,-0.0890493988990784,-0.4761843681335449,0.00047843910369083087
8,6,-0.0018330812454223633,0.1290574073791504,0.000637133560630776
8,7,-0.012287783902138501,-0.7421426773071289,4.185010656121424e-05
9,0,-0.0140379443764686,-0.5807938575744629,0.00018147336956675364
9,1,0.001633215695619597,-0.015726566314697266,0.00019712362968049568
9,2,-0.008161847479641401,-0.1236581802368164,0.0008619524150153546
9,3,-0.07478615641593929,0.07773256301879883,7.046713977887364e-06
9,4,-0.006917973048985001,-0.08338594436645508,0.00048085629046240586
9,5,-0.0012780288234352996,0.06749916076660156,0.001014009850650588
9,6,-0.0005649235099553993,0.2937765121459961,-0.0004409931933659905
9,7,-0.020516864955425297,0.26486968994140625,-7.534248259011278e-05
10,0,-0.018515273928642297,0.39163923263549805,4.2812884343268465e-06
10,1,-0.07227864861488341,-0.043079376220703125,-0.00022907965818519394
10,2,0.0661645233631134,0.9122664928436279,0.00024630723509083685
10,3,-0.0154814538545907,-0.48433828353881836,8.509316821087021e-05
10,4,-0.004643086344003691,0.2868928909301758,-5.961028394158019e-05
10,5,-0.009806379675865201,0.6544318199157715,-0.0007154667997348874
10,6,-0.008065426722168902,0.20573663711547852,-0.000456336183974948
10,7,-0.03636935353279119,0.7023744583129883,-0.0004194433587588198
11,0,-0.0049273571930826,-0.1387343406677246,-0.00048183955287789404
11,1,0.014750174246728401,0.402529239654541,0.0001259600123563187
11,2,-0.0379671677947045,-1.1201839447021484,-0.00014245014245017895
11,3,-0.004645718261599499,0.5468711853027335,8.064800270723982e-05
11,4,-0.004946649074554402,0.4549431800842285,-0.0002360239489949123
11,5,0.022868901491165106,0.4219355583190918,0.0004045100608230934
11,6,0.019126869738101997,0.6361122131347656,0.001538928588109001
11,7,-0.024584636092186002,0.18761587142944336,-3.4619030879756707e-06
12,0,-0.014953009784221698,0.36923742294311523,-0.0006282022603563697
12,1,-0.0163718052208423,0.5206127166748056,-0.0008419594125663177
12,2,-0.020931836217641796,0.16354942321777344,0.00017407841681638114
12,3,-0.017574707046151203,-0.2752828598022461,0.00030489328734961685
12,4,0.002530306577682495,0.6456332206726074,-0.00020720206943969366
12,5,-0.0790809690952301,0.10040807723999023,8.271695070660723e-05
12,6,-0.0009555229917168999,0.10047197341918945,0.0001637131921859991
12,7,0.0121417045593262,0.9821333885192871,0.0001701863364216849
13,0,-0.007091531530022597,-0.15687084197998047,0.0005666869054847812
13,1,0.019427597522735596,0.6782379150390625,0.0006008143051571269
13,2,0.017230648547411,0.41807985305786133,-0.00011686483501260891
13,3,0.0065751671791076105,0.46541786193847656,0.0004449467276617103
13,4,0.012462418526410994,0.4869260787963867,0.0006237980641201624
13,5,0.009712174534797703,0.4193696975708008,-1.5957529618693123e-05
13,6,0.00032083084806799975,0.14364337921142578,-0.00030761774362580985
13,7,-0.018437236547470093,0.555534839630127,-0.00030057102964786697
14,0,0.030945494771003695,0.7108290195465088,0.0005835457589843385
14,1,0.08156957477331159,1.0305438041687016,0.0011909970854463436
14,2,0.0355960819870233,1.0047974586486816,0.00014509266019180345
14,3,-0.0580427348613739,0.3186805248260498,0.000547902496421393
14,4,0.0267820209264755,0.48154687881469727,-0.0001727878848961084
14,5,0.05463628470897679,0.7199807167053223,0.00014914861765591425
14,6,0.031123973429203103,0.4948558807373047,-7.1409432927938e-05
14,7,0.0428555235266685,0.8218798637390137,0.0011781941894107306
15,0,0.0271145738661289,0.4397716522216797,0.0008572614339078521
15,1,0.003943705931305799,0.06450796127319336,0.0012829116366648297
15,2,0.011050878092646602,0.4273662567138672,0.00032619730635252697
15,3,0.0004471512511373,0.02588796615600497,-0.000525021160626471
15,4,0.009669836610555697,0.44202661514282227,-0.0001233994331492072
15,5,0.003990730736404601,0.22305870056152344,-0.00027861150236763166
15,6,0.010784531012177398,0.5120272636413574,0.0009016516350425219
15,7,0.013323890045285301,0.6975212097167969,0.0004270226732120408
