layer,row_max_delta,row_ent_delta
0,-0.009844651445746498,-0.038399696350097656
1,-0.0018957643769682009,-0.026337623596191406
2,-0.018505958840251,-0.15126276016235263
3,-0.0098862573504448,-0.06092405319213867
4,-0.0141304768621921,-0.20787429809570312
5,-0.0030140383169055002,0.007566928863525391
6,-0.0243045054376125,-0.16664791107177734
7,-0.058945249766111395,-0.29540205001831055
8,-0.025513224303722395,-0.256195068359375
9,-0.015578815713524902,-0.01246023178100586
10,-0.012374378740787506,0.32824134826660156
11,-0.0025407001376152004,0.17388582229614258
12,-0.016899481415748596,0.32584619522094727
13,0.005025006830692305,0.37629270553588867
14,0.030683249235153198,0.6978888511657715
15,0.010040662251412799,0.3540210723876953
